Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye
03.07.2019 00:00:45;1562104845365;10;0;11;18;3;2;3
03.07.2019 00:01:55;1562104915349;10;0;12;13;3;2;3
03.07.2019 00:03:05;1562104985338;10;0;6;11;3;4;3
03.07.2019 00:04:15;1562105055325;10;0;11;17;3;4;3
03.07.2019 00:05:25;1562105125311;10;0;13;16;3;2;3
03.07.2019 00:06:35;1562105195300;10;0;12;18;3;3;3
03.07.2019 00:07:45;1562105265283;10;0;11;11;3;2;3
03.07.2019 00:08:55;1562105335273;10;0;8;16;3;4;3
03.07.2019 00:10:05;1562105405261;10;0;12;18;3;2;3
03.07.2019 00:11:15;1562105475242;10;0;8;9;3;2;3
03.07.2019 00:12:25;1562105545234;10;0;7;11;3;3;3
03.07.2019 00:13:35;1562105615218;10;0;11;13;3;2;3
03.07.2019 00:14:45;1562105685205;10;0;11;12;3;2;3
03.07.2019 00:15:55;1562105755194;10;0;9;16;3;4;3
03.07.2019 00:17:05;1562105825177;10;0;5;9;3;3;3
03.07.2019 00:18:15;1562105895168;10;0;11;18;3;3;3
03.07.2019 00:19:25;1562105965154;10;0;5;11;3;3;3
03.07.2019 00:20:35;1562106035140;10;0;12;16;3;2;3
03.07.2019 00:21:45;1562106105126;10;0;7;11;3;3;3
03.07.2019 00:22:55;1562106175113;10;0;6;10;3;3;3
03.07.2019 00:24:05;1562106245102;10;0;9;18;3;2;3
03.07.2019 00:25:15;1562106315090;10;0;7;11;3;3;3
03.07.2019 00:26:25;1562106385075;10;0;12;16;3;2;3
03.07.2019 00:27:35;1562106455059;10;0;9;9;3;2;3
03.07.2019 00:28:45;1562106525051;10;0;10;17;3;3;3
03.07.2019 00:29:55;1562106595037;10;0;9;16;3;4;4
03.07.2019 00:31:05;1562106665025;10;0;9;18;3;3;3
03.07.2019 00:32:15;1562106735009;10;0;12;16;3;2;3
03.07.2019 00:33:24;1562106804994;10;0;9;9;3;2;3
03.07.2019 00:34:34;1562106874985;10;0;9;16;3;4;3
03.07.2019 00:35:44;1562106944979;10;0;5;9;3;2;3
03.07.2019 00:36:44;1562107004983;10;0;8;12;3;4;3
03.07.2019 00:37:54;1562107074978;10;0;8;9;3;2;3
03.07.2019 00:38:54;1562107134980;10;0;7;11;3;3;3
03.07.2019 00:40:04;1562107204969;10;0;9;8;3;2;3
03.07.2019 00:41:14;1562107274960;10;0;6;11;3;3;3
03.07.2019 00:42:15;1562107335948;10;0;10;18;3;2;3
03.07.2019 00:43:24;1562107404972;10;0;9;17;3;3;3
03.07.2019 00:44:24;1562107464975;10;0;9;18;3;2;3
03.07.2019 00:45:34;1562107534918;10;0;5;10;3;3;3
03.07.2019 00:46:44;1562107604897;10;0;10;18;3;2;3
03.07.2019 00:47:55;1562107675884;10;0;6;13;3;4;3
03.07.2019 00:49:05;1562107745869;10;0;11;11;3;2;3
03.07.2019 00:50:15;1562107815856;10;0;6;11;3;4;3
03.07.2019 00:51:24;1562107884893;10;0;8;16;3;4;3
03.07.2019 00:52:25;1562107945827;10;0;5;8;3;2;3
03.07.2019 00:53:35;1562108015815;10;0;12;16;3;2;3
03.07.2019 00:54:45;1562108085802;10;0;6;11;3;3;3
03.07.2019 00:55:55;1562108155788;10;0;11;16;3;2;3
03.07.2019 00:57:05;1562108225778;10;0;7;14;3;4;3
03.07.2019 00:58:15;1562108295765;10;0;9;16;3;3;3
03.07.2019 00:59:25;1562108365752;10;0;11;16;3;2;3
03.07.2019 01:00:35;1562108435732;10;0;9;9;3;2;3
03.07.2019 01:01:45;1562108505720;10;0;7;9;3;2;3
03.07.2019 01:02:55;1562108575711;10;0;8;13;3;4;3
03.07.2019 01:04:05;1562108645693;10;0;9;9;3;2;3
03.07.2019 01:05:15;1562108715681;10;0;6;10;3;3;3
03.07.2019 01:06:25;1562108785668;10;0;7;9;3;2;3
03.07.2019 01:07:35;1562108855657;10;0;9;17;3;3;3
03.07.2019 01:08:45;1562108925640;10;0;9;11;3;2;3
03.07.2019 01:09:55;1562108995627;10;0;9;9;3;2;3
03.07.2019 01:11:05;1562109065617;10;0;9;16;3;4;3
03.07.2019 01:12:15;1562109135601;10;0;10;9;3;2;3
03.07.2019 01:13:25;1562109205589;10;0;7;11;3;3;3
03.07.2019 01:14:35;1562109275579;10;0;11;16;3;2;3
03.07.2019 01:15:45;1562109345560;10;0;5;9;3;2;3
03.07.2019 01:16:55;1562109415548;10;0;7;11;3;3;3
03.07.2019 01:18:05;1562109485533;10;0;7;9;3;2;3
03.07.2019 01:19:15;1562109555526;10;0;11;17;3;2;3
03.07.2019 01:20:25;1562109625506;10;0;7;9;3;2;3
03.07.2019 01:21:35;1562109695494;10;0;12;16;3;2;3
03.07.2019 01:22:45;1562109765484;10;0;10;18;3;2;3
03.07.2019 01:23:55;1562109835467;10;0;9;16;3;2;3
03.07.2019 01:25:05;1562109905452;10;0;9;9;3;2;3
03.07.2019 01:26:15;1562109975444;10;0;11;18;3;2;3
03.07.2019 01:27:25;1562110045427;10;0;10;9;3;2;3
03.07.2019 01:28:35;1562110115416;10;0;8;13;3;3;3
03.07.2019 01:29:45;1562110185405;10;0;9;16;3;3;3
03.07.2019 01:30:55;1562110255391;10;0;9;18;3;3;3
03.07.2019 01:32:05;1562110325375;10;0;12;16;3;2;3
03.07.2019 01:33:15;1562110395361;10;0;12;13;3;2;3
03.07.2019 01:34:25;1562110465346;10;0;5;9;3;2;3
03.07.2019 01:35:35;1562110535338;10;0;10;18;3;3;3
03.07.2019 01:36:45;1562110605319;10;0;5;9;3;2;3
03.07.2019 01:37:55;1562110675309;10;0;9;16;3;4;3
03.07.2019 01:39:05;1562110745294;10;0;12;13;3;2;3
03.07.2019 01:40:15;1562110815280;10;0;11;17;3;2;3
03.07.2019 01:41:25;1562110885265;10;0;9;9;3;2;3
03.07.2019 01:42:35;1562110955256;10;0;7;13;3;4;3
03.07.2019 01:43:45;1562111025244;10;0;8;16;3;3;3
03.07.2019 01:44:55;1562111095228;10;0;11;14;3;2;3
03.07.2019 01:46:05;1562111165218;10;0;11;18;3;2;3
03.07.2019 01:47:15;1562111235201;10;0;10;11;3;2;3
03.07.2019 01:48:25;1562111305186;10;0;5;10;3;3;3
03.07.2019 01:49:35;1562111375174;10;0;10;13;3;2;3
03.07.2019 01:50:45;1562111445160;10;0;5;10;3;3;3
03.07.2019 01:51:55;1562111515149;10;0;7;13;3;4;3
03.07.2019 01:53:05;1562111585133;10;0;7;11;3;3;3
03.07.2019 01:54:15;1562111655120;10;0;12;13;3;2;3
03.07.2019 01:55:25;1562111725108;10;0;6;11;3;3;3
03.07.2019 01:56:35;1562111795097;10;0;10;18;3;2;3
03.07.2019 01:57:45;1562111865079;10;0;5;9;3;2;3
03.07.2019 01:58:55;1562111935070;10;0;9;18;3;2;3
03.07.2019 02:00:05;1562112005056;10;0;9;18;3;2;3
03.07.2019 02:01:15;1562112075044;10;0;11;15;3;2;3
03.07.2019 02:02:25;1562112145035;10;0;9;18;3;2;3
03.07.2019 02:03:35;1562112215024;10;0;10;18;3;3;3
03.07.2019 02:04:45;1562112285012;10;0;10;17;3;2;3
03.07.2019 02:05:55;1562112355003;10;0;7;12;3;3;3
03.07.2019 02:07:04;1562112424991;10;0;11;13;3;2;3
03.07.2019 02:08:14;1562112494982;10;0;9;17;3;3;3
03.07.2019 02:09:24;1562112564971;10;0;8;13;3;3;3
03.07.2019 02:10:34;1562112634962;10;0;10;18;3;2;3
03.07.2019 02:11:44;1562112704948;10;0;12;16;3;2;3
03.07.2019 02:12:54;1562112774937;10;0;8;10;3;2;3
03.07.2019 02:14:04;1562112844928;10;0;12;16;3;2;3
03.07.2019 02:15:14;1562112914917;10;0;10;16;3;2;3
03.07.2019 02:16:24;1562112984908;10;0;9;16;3;3;3
03.07.2019 02:17:34;1562113054898;10;0;7;12;3;3;3
03.07.2019 02:18:44;1562113124888;10;0;8;16;3;3;3
03.07.2019 02:19:54;1562113194875;10;0;6;10;3;3;3
03.07.2019 02:20:54;1562113254908;10;0;7;9;3;2;3
03.07.2019 02:22:04;1562113324867;10;0;11;13;3;2;3
03.07.2019 02:23:14;1562113394849;10;0;6;9;3;2;3
03.07.2019 02:24:24;1562113464836;10;0;5;11;3;3;3
03.07.2019 02:25:35;1562113535828;10;0;10;18;3;2;3
03.07.2019 02:26:45;1562113605814;10;0;10;9;3;2;3
03.07.2019 02:27:54;1562113674829;10;0;11;16;2;2;3
03.07.2019 02:29:04;1562113744810;10;0;7;15;3;3;3
03.07.2019 02:30:15;1562113815784;10;0;10;13;3;2;3
03.07.2019 02:31:25;1562113885771;10;0;9;10;3;2;3
03.07.2019 02:32:35;1562113955764;10;0;9;17;3;3;3
03.07.2019 02:33:44;1562114024800;10;0;9;18;3;2;3
03.07.2019 02:34:54;1562114094776;10;0;7;9;3;2;3
03.07.2019 02:35:55;1562114155730;10;0;6;12;3;3;3
03.07.2019 02:37:05;1562114225724;10;0;6;14;3;3;3
03.07.2019 02:38:15;1562114295713;10;0;8;17;3;3;3
03.07.2019 02:39:25;1562114365699;10;0;6;9;3;2;3
03.07.2019 02:40:35;1562114435689;10;0;5;9;3;2;3
03.07.2019 02:41:45;1562114505682;10;0;7;12;3;3;3
03.07.2019 02:42:55;1562114575671;10;0;7;16;3;3;3
03.07.2019 02:44:05;1562114645657;10;0;9;9;3;2;3
03.07.2019 02:45:15;1562114715646;10;0;5;9;3;3;3
03.07.2019 02:46:25;1562114785637;10;0;11;11;3;2;3
03.07.2019 02:47:35;1562114855626;10;0;10;16;3;2;3
03.07.2019 02:48:45;1562114925613;10;0;5;9;3;2;3
03.07.2019 02:49:55;1562114995604;10;0;7;8;3;2;3
03.07.2019 02:51:05;1562115065597;10;0;9;16;3;3;3
03.07.2019 02:52:15;1562115135588;10;0;9;16;3;3;3
03.07.2019 02:53:25;1562115205574;10;0;5;10;3;3;3
03.07.2019 02:54:35;1562115275568;10;0;9;16;3;3;3
03.07.2019 02:55:45;1562115345554;10;0;9;17;2;2;3
03.07.2019 02:56:55;1562115415546;10;0;7;13;3;3;3
03.07.2019 02:58:05;1562115485536;10;0;7;15;3;3;3
03.07.2019 02:59:15;1562115555524;10;0;9;18;3;3;3
03.07.2019 03:00:25;1562115625510;10;0;8;9;3;2;3
03.07.2019 03:01:35;1562115695505;10;0;9;11;3;2;3
03.07.2019 03:02:45;1562115765496;10;0;5;9;3;2;3
03.07.2019 03:03:55;1562115835491;10;0;9;18;3;2;3
03.07.2019 03:05:05;1562115905481;10;0;9;11;3;2;3
03.07.2019 03:06:15;1562115975473;10;0;4;9;3;2;3
03.07.2019 03:07:25;1562116045470;10;0;8;16;3;3;3
03.07.2019 03:08:35;1562116115460;10;0;10;16;2;2;3
03.07.2019 03:09:45;1562116185450;10;0;9;9;3;2;3
03.07.2019 03:10:55;1562116255442;10;0;7;8;3;2;3
03.07.2019 03:12:05;1562116325436;10;0;7;8;3;2;3
