Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye
12.05.2019 00:00:05;1557612005355;10;0;1;10;1;1;3
12.05.2019 00:01:15;1557612075352;10;0;1;7;2;2;3
12.05.2019 00:02:25;1557612145351;10;0;1;8;2;2;3
12.05.2019 00:03:35;1557612215351;10;0;1;10;1;1;3
12.05.2019 00:04:35;1557612275354;10;0;0;5;2;2;3
12.05.2019 00:05:35;1557612335362;10;0;1;9;1;1;3
12.05.2019 00:06:35;1557612395370;10;0;1;7;2;2;3
12.05.2019 00:07:35;1557612455379;10;0;1;4;2;2;3
12.05.2019 00:08:35;1557612515390;10;10;0;5;2;2;3
12.05.2019 00:09:35;1557612575391;10;0;1;8;1;1;3
12.05.2019 00:10:45;1557612645389;10;0;1;5;2;2;3
12.05.2019 00:11:55;1557612715387;10;0;1;7;2;2;3
12.05.2019 00:12:55;1557612775387;10;0;1;9;2;2;3
12.05.2019 00:13:55;1557612835387;10;0;1;10;1;1;3
12.05.2019 00:15:05;1557612905383;10;0;1;9;1;1;3
12.05.2019 00:16:15;1557612975382;10;0;1;5;2;2;3
12.05.2019 00:17:25;1557613045380;10;0;1;9;1;1;3
12.05.2019 00:18:35;1557613115379;10;0;0;4;2;2;3
12.05.2019 00:19:45;1557613185375;10;0;1;7;1;1;3
12.05.2019 00:20:55;1557613255374;10;0;1;9;1;1;3
12.05.2019 00:22:05;1557613325371;10;0;0;5;2;2;3
12.05.2019 00:23:05;1557613385372;10;0;1;10;1;1;3
12.05.2019 00:24:05;1557613445372;10;10;0;5;2;2;3
12.05.2019 00:25:15;1557613515366;10;0;1;7;1;1;3
12.05.2019 00:26:25;1557613585364;10;0;1;9;2;2;3
12.05.2019 00:27:35;1557613655364;10;0;1;8;1;1;3
12.05.2019 00:28:45;1557613725361;10;0;0;7;1;1;3
12.05.2019 00:29:55;1557613795360;10;0;0;7;1;1;3
12.05.2019 00:31:05;1557613865358;10;0;0;4;2;2;3
12.05.2019 00:32:15;1557613935356;10;0;0;5;2;2;3
12.05.2019 00:33:25;1557614005354;10;0;1;10;1;1;3
12.05.2019 00:34:35;1557614075351;10;0;1;9;2;1;3
12.05.2019 00:35:35;1557614135351;10;0;1;10;1;1;3
12.05.2019 00:36:45;1557614205348;10;0;1;8;2;2;3
12.05.2019 00:37:45;1557614265348;10;0;1;5;2;2;3
12.05.2019 00:38:55;1557614335345;10;0;1;6;2;2;3
12.05.2019 00:40:05;1557614405343;10;0;1;6;2;2;3
12.05.2019 00:41:15;1557614475342;10;0;1;9;1;1;3
12.05.2019 00:42:15;1557614535343;10;10;1;9;2;2;3
12.05.2019 00:43:25;1557614605339;10;0;1;10;1;1;3
12.05.2019 00:44:35;1557614675336;10;0;1;7;2;2;3
12.05.2019 00:45:45;1557614745335;10;0;1;7;2;2;3
12.05.2019 00:46:55;1557614815332;10;0;1;9;2;1;3
12.05.2019 00:48:05;1557614885332;10;0;1;9;1;1;3
12.05.2019 00:49:15;1557614955330;10;0;1;10;1;1;3
12.05.2019 00:50:25;1557615025326;10;0;1;6;2;2;3
12.05.2019 00:51:25;1557615085327;10;0;1;5;2;2;3
12.05.2019 00:52:35;1557615155323;10;0;1;4;2;2;3
12.05.2019 00:53:35;1557615215323;10;0;1;7;2;2;3
12.05.2019 00:54:45;1557615285321;10;0;1;6;2;2;3
12.05.2019 00:55:55;1557615355317;10;0;0;6;1;2;3
12.05.2019 00:56:55;1557615415317;10;0;0;7;2;2;3
12.05.2019 00:58:05;1557615485315;10;0;1;6;2;2;3
12.05.2019 00:59:15;1557615555313;10;0;1;9;1;1;3
12.05.2019 01:00:25;1557615625312;10;0;1;10;1;1;3
12.05.2019 01:01:35;1557615695306;10;0;1;9;1;1;3
12.05.2019 01:02:45;1557615765301;10;0;1;10;1;1;3
12.05.2019 01:03:55;1557615835299;10;10;0;7;1;1;3
12.05.2019 01:05:05;1557615905291;10;0;1;9;1;1;3
12.05.2019 01:06:15;1557615975286;10;0;0;4;2;2;3
12.05.2019 01:07:25;1557616045282;10;0;1;6;2;2;3
12.05.2019 01:08:35;1557616115282;10;10;1;9;1;1;3
12.05.2019 01:09:45;1557616185274;10;0;1;8;2;2;3
12.05.2019 01:10:55;1557616255269;10;0;1;8;1;1;3
12.05.2019 01:12:05;1557616325263;10;0;1;9;2;1;3
12.05.2019 01:13:15;1557616395259;10;0;1;5;2;2;3
12.05.2019 01:14:25;1557616465254;10;0;1;7;2;2;3
12.05.2019 01:15:35;1557616535250;10;0;0;5;2;2;3
12.05.2019 01:16:45;1557616605245;10;0;1;9;1;1;3
12.05.2019 01:17:55;1557616675243;10;10;0;5;2;2;3
12.05.2019 01:19:05;1557616745235;10;0;1;8;1;1;3
12.05.2019 01:20:15;1557616815230;10;0;1;7;1;1;3
12.05.2019 01:21:25;1557616885224;10;0;0;5;2;2;3
12.05.2019 01:22:25;1557616945224;10;10;0;5;2;2;3
12.05.2019 01:23:35;1557617015216;10;0;1;6;2;2;3
12.05.2019 01:24:45;1557617085211;10;0;0;7;2;2;3
12.05.2019 01:25:55;1557617155208;10;0;1;10;1;1;3
12.05.2019 01:27:05;1557617225202;10;0;0;4;2;2;3
12.05.2019 01:28:15;1557617295197;10;0;0;5;2;2;3
12.05.2019 01:29:15;1557617355197;10;10;1;8;2;1;3
12.05.2019 01:30:25;1557617425188;10;0;1;4;2;2;3
12.05.2019 01:31:35;1557617495185;10;10;1;5;2;2;3
12.05.2019 01:32:45;1557617565179;10;0;1;7;2;2;3
12.05.2019 01:33:55;1557617635173;10;0;1;7;2;1;3
12.05.2019 01:35:05;1557617705169;10;0;1;5;2;2;3
12.05.2019 01:36:15;1557617775164;10;0;0;4;2;2;3
12.05.2019 01:37:25;1557617845163;10;10;1;8;1;1;3
12.05.2019 01:38:35;1557617915155;10;0;1;9;1;1;3
12.05.2019 01:39:35;1557617975155;10;10;1;10;1;1;3
12.05.2019 01:40:45;1557618045147;10;0;1;5;2;2;3
12.05.2019 01:41:55;1557618115142;10;0;1;5;2;2;3
12.05.2019 01:43:05;1557618185138;10;0;1;7;2;2;3
12.05.2019 01:44:15;1557618255135;10;10;1;7;1;1;3
12.05.2019 01:45:25;1557618325130;10;10;1;7;2;2;3
12.05.2019 01:46:35;1557618395122;10;0;1;8;2;1;3
12.05.2019 01:47:45;1557618465121;10;10;1;7;2;2;3
12.05.2019 01:48:55;1557618535114;10;0;1;10;1;1;3
12.05.2019 01:49:55;1557618595114;10;10;1;10;1;1;3
12.05.2019 01:51:05;1557618665103;10;0;1;6;2;2;3
12.05.2019 01:52:15;1557618735098;10;0;0;5;2;2;3
12.05.2019 01:53:15;1557618795098;10;10;1;7;2;2;3
12.05.2019 01:54:25;1557618865092;10;0;1;10;1;1;3
12.05.2019 01:55:35;1557618935086;10;0;0;5;2;2;3
12.05.2019 01:56:45;1557619005080;10;0;1;6;2;2;3
12.05.2019 01:57:45;1557619065080;20;10;1;9;1;1;3
12.05.2019 01:58:55;1557619135071;10;0;1;9;1;1;3
12.05.2019 01:59:55;1557619195071;10;10;0;4;2;2;2
12.05.2019 02:01:05;1557619265065;10;10;1;7;2;2;3
12.05.2019 02:02:15;1557619335053;10;0;0;5;2;2;3
12.05.2019 02:03:25;1557619405046;10;0;1;7;1;1;3
12.05.2019 02:04:35;1557619475043;10;10;0;7;1;1;3
12.05.2019 02:05:45;1557619545032;10;0;1;10;1;1;3
12.05.2019 02:06:55;1557619615023;10;0;0;6;2;2;3
12.05.2019 02:08:05;1557619685017;10;0;1;7;2;2;3
12.05.2019 02:09:15;1557619755008;10;0;1;7;2;2;3
12.05.2019 02:10:25;1557619825001;10;0;1;7;2;2;3
12.05.2019 02:11:34;1557619894995;10;10;0;5;2;2;3
12.05.2019 02:12:44;1557619964984;10;0;1;6;2;2;3
12.05.2019 02:13:54;1557620034977;10;0;0;4;2;2;3
12.05.2019 02:15:04;1557620104969;10;0;0;5;2;2;3
12.05.2019 02:16:14;1557620174965;10;10;0;5;2;2;3
12.05.2019 02:17:24;1557620244953;10;0;1;5;2;2;3
12.05.2019 02:18:34;1557620314946;10;0;1;9;1;1;3
12.05.2019 02:19:44;1557620384937;10;0;0;4;2;2;3
12.05.2019 02:20:54;1557620454936;10;10;1;10;1;1;3
12.05.2019 02:22:04;1557620524922;10;0;1;5;2;2;3
12.05.2019 02:23:14;1557620594916;10;0;1;9;1;1;3
12.05.2019 02:24:24;1557620664908;10;0;0;7;2;2;3
12.05.2019 02:25:34;1557620734903;10;10;0;4;2;2;3
12.05.2019 02:26:44;1557620804891;10;0;1;7;2;2;3
12.05.2019 02:27:54;1557620874887;10;10;1;6;2;2;3
12.05.2019 02:29:04;1557620944877;10;0;0;5;2;2;3
12.05.2019 02:30:14;1557621014872;10;10;1;9;1;1;3
12.05.2019 02:31:24;1557621084863;10;0;1;5;2;2;3
12.05.2019 02:32:34;1557621154855;10;0;1;9;1;1;3
12.05.2019 02:33:44;1557621224847;10;0;0;7;2;2;3
12.05.2019 02:34:54;1557621294839;10;0;1;7;2;1;3
12.05.2019 02:36:04;1557621364832;10;0;1;10;1;1;3
12.05.2019 02:37:14;1557621434825;10;0;1;7;2;2;3
12.05.2019 02:38:24;1557621504816;10;0;1;7;2;2;3
12.05.2019 02:39:34;1557621574808;10;0;1;9;1;1;3
12.05.2019 02:40:44;1557621644801;10;0;1;9;2;1;3
12.05.2019 02:41:54;1557621714793;10;0;1;9;1;1;3
12.05.2019 02:43:04;1557621784789;10;10;1;10;1;1;3
12.05.2019 02:44:14;1557621854777;10;0;1;7;1;2;3
12.05.2019 02:45:24;1557621924771;10;0;1;10;1;1;3
12.05.2019 02:46:34;1557621994765;10;10;0;7;1;1;3
12.05.2019 02:47:44;1557622064755;10;0;1;10;1;1;3
12.05.2019 02:48:54;1557622134750;10;10;1;9;1;1;3
12.05.2019 02:50:04;1557622204738;10;0;1;6;2;2;3
12.05.2019 02:51:14;1557622274730;10;0;1;4;2;2;3
12.05.2019 02:52:24;1557622344723;10;0;1;6;2;2;3
12.05.2019 02:53:34;1557622414715;10;0;1;9;1;1;3
12.05.2019 02:54:44;1557622484708;10;0;1;7;2;1;3
12.05.2019 02:55:54;1557622554702;10;0;1;10;1;1;3
12.05.2019 02:57:04;1557622624692;10;0;0;5;2;2;3
12.05.2019 02:58:14;1557622694684;10;0;1;9;1;1;3
12.05.2019 02:59:24;1557622764679;10;10;1;9;2;1;3
12.05.2019 03:00:34;1557622834669;20;0;1;8;1;1;3
12.05.2019 03:01:44;1557622904659;10;0;1;4;2;2;3
12.05.2019 03:02:54;1557622974647;10;0;1;9;1;1;3
12.05.2019 03:04:04;1557623044641;10;10;1;8;1;1;3
12.05.2019 03:05:14;1557623114627;10;0;1;7;2;1;3
12.05.2019 03:06:24;1557623184616;10;0;1;7;2;2;3
12.05.2019 03:07:34;1557623254609;10;10;0;5;2;2;3
12.05.2019 03:08:44;1557623324599;10;10;1;6;2;2;3
12.05.2019 03:09:54;1557623394585;10;0;1;6;2;2;3
12.05.2019 03:11:04;1557623464575;10;0;1;10;1;1;3
12.05.2019 03:12:14;1557623534563;10;0;1;5;2;2;3
12.05.2019 03:13:24;1557623604555;10;10;1;9;1;1;3
12.05.2019 03:14:34;1557623674545;10;10;1;9;2;1;3
12.05.2019 03:15:44;1557623744531;10;0;1;9;1;1;3
12.05.2019 03:16:54;1557623814523;10;10;1;9;2;1;3
12.05.2019 03:18:04;1557623884513;10;10;1;6;2;2;3
12.05.2019 03:19:14;1557623954499;10;0;0;4;2;2;3
12.05.2019 03:20:24;1557624024488;10;0;1;5;2;2;3
12.05.2019 03:21:34;1557624094481;10;10;1;5;2;2;3
12.05.2019 03:22:44;1557624164470;10;10;1;7;2;2;3
12.05.2019 03:23:54;1557624234457;10;0;1;6;2;2;3
12.05.2019 03:25:04;1557624304458;10;10;1;8;2;1;3
