Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye
09.05.2019 00:00:29;1557352829805;10;0;3;8;1;1;3
09.05.2019 00:01:29;1557352889810;10;0;3;9;1;1;3
09.05.2019 00:02:29;1557352949816;10;0;0;5;2;2;3
09.05.2019 00:03:29;1557353009822;10;0;0;9;2;1;3
09.05.2019 00:04:29;1557353069828;10;0;0;7;2;2;3
09.05.2019 00:05:29;1557353129833;10;0;0;8;1;1;3
09.05.2019 00:06:29;1557353189840;10;0;0;8;1;1;3
09.05.2019 00:07:29;1557353249846;10;0;0;7;2;1;3
09.05.2019 00:08:29;1557353309851;10;0;1;7;1;1;3
09.05.2019 00:09:29;1557353369857;10;0;0;7;1;2;3
09.05.2019 00:10:29;1557353429862;10;0;0;5;2;2;3
09.05.2019 00:11:29;1557353489871;10;0;2;9;1;1;3
09.05.2019 00:12:29;1557353549876;10;0;0;9;1;1;3
09.05.2019 00:13:29;1557353609882;10;0;3;6;2;2;3
09.05.2019 00:14:29;1557353669888;10;0;0;7;2;2;3
09.05.2019 00:15:29;1557353729894;10;0;0;7;1;1;3
09.05.2019 00:16:29;1557353789900;10;0;0;8;1;1;3
09.05.2019 00:17:29;1557353849907;10;0;0;5;2;2;3
09.05.2019 00:18:29;1557353909912;10;0;0;7;2;2;3
09.05.2019 00:19:29;1557353969917;10;0;0;9;1;1;3
09.05.2019 00:20:29;1557354029924;10;0;0;4;2;2;3
09.05.2019 00:21:29;1557354089930;10;0;0;9;1;1;3
09.05.2019 00:22:29;1557354149935;10;0;1;9;1;1;3
09.05.2019 00:23:29;1557354209941;10;0;0;5;2;2;3
09.05.2019 00:24:29;1557354269946;10;0;0;9;1;1;3
09.05.2019 00:25:38;1557354338986;10;0;2;10;1;1;3
09.05.2019 00:26:39;1557354399960;10;0;0;7;2;1;3
09.05.2019 00:27:39;1557354459966;10;0;1;4;2;2;3
09.05.2019 00:28:39;1557354519971;10;0;2;7;1;1;3
09.05.2019 00:29:39;1557354579978;10;0;2;7;1;1;3
09.05.2019 00:30:39;1557354639983;10;0;2;8;2;1;3
09.05.2019 00:31:49;1557354709014;10;0;3;9;1;1;3
09.05.2019 00:32:58;1557354778996;10;0;0;9;1;1;3
09.05.2019 00:34:00;1557354840003;10;0;3;9;1;1;3
09.05.2019 00:35:09;1557354909055;10;0;3;10;1;1;3
09.05.2019 00:36:19;1557354979016;10;0;0;7;2;2;3
09.05.2019 00:37:19;1557355039022;10;0;0;7;2;1;3
09.05.2019 00:38:19;1557355099028;10;0;0;7;2;2;3
09.05.2019 00:39:19;1557355159035;10;0;0;5;2;2;3
09.05.2019 00:40:19;1557355219039;10;0;0;9;1;1;3
09.05.2019 00:41:19;1557355279047;10;0;0;10;1;1;3
09.05.2019 00:42:19;1557355339051;10;0;2;5;2;2;3
09.05.2019 00:43:19;1557355399083;10;0;2;4;2;2;3
09.05.2019 00:44:29;1557355469065;10;0;0;10;1;1;3
09.05.2019 00:45:29;1557355529071;10;0;3;4;2;2;3
09.05.2019 00:46:29;1557355589075;10;0;3;8;1;1;3
09.05.2019 00:47:29;1557355649083;10;0;0;6;2;1;2
09.05.2019 00:48:29;1557355709087;10;0;0;7;2;2;3
09.05.2019 00:49:29;1557355769092;10;0;2;7;2;2;3
09.05.2019 00:50:29;1557355829101;10;0;2;10;1;1;3
09.05.2019 00:51:29;1557355889107;10;0;0;10;1;1;3
09.05.2019 00:52:29;1557355949111;10;0;2;7;1;1;3
09.05.2019 00:53:29;1557356009117;10;0;0;6;2;2;3
09.05.2019 00:54:29;1557356069122;10;0;0;7;2;2;3
09.05.2019 00:55:29;1557356129128;10;0;0;5;2;2;3
09.05.2019 00:56:29;1557356189133;10;0;0;8;1;1;3
09.05.2019 00:57:29;1557356249140;10;0;2;7;1;1;3
09.05.2019 00:58:29;1557356309146;10;0;0;4;2;2;3
09.05.2019 00:59:29;1557356369153;10;0;1;9;1;1;3
09.05.2019 01:00:29;1557356429158;10;0;2;9;1;1;3
09.05.2019 01:01:29;1557356489169;10;0;1;10;1;1;3
09.05.2019 01:02:29;1557356549176;10;0;0;5;2;2;3
09.05.2019 01:03:29;1557356609185;10;0;0;9;1;1;3
09.05.2019 01:04:29;1557356669193;10;0;2;9;1;1;3
09.05.2019 01:05:29;1557356729202;10;0;0;8;1;1;3
09.05.2019 01:06:29;1557356789211;10;0;0;7;2;2;3
09.05.2019 01:07:29;1557356849218;10;0;2;4;2;2;3
09.05.2019 01:08:29;1557356909228;10;0;0;9;1;1;3
09.05.2019 01:09:29;1557356969236;10;0;2;7;1;1;3
09.05.2019 01:10:29;1557357029244;10;0;0;9;2;1;3
09.05.2019 01:11:29;1557357089253;10;0;0;7;2;1;3
09.05.2019 01:12:29;1557357149261;10;0;1;9;1;1;3
09.05.2019 01:13:29;1557357209269;10;0;1;9;1;1;3
09.05.2019 01:14:29;1557357269278;10;0;2;7;1;1;2
09.05.2019 01:15:29;1557357329286;10;0;3;9;1;1;3
09.05.2019 01:16:29;1557357389293;10;0;0;9;1;1;3
09.05.2019 01:17:29;1557357449303;10;0;0;7;1;1;3
09.05.2019 01:18:29;1557357509310;10;0;0;6;2;2;3
09.05.2019 01:19:29;1557357569318;10;0;1;8;1;1;3
09.05.2019 01:20:29;1557357629328;10;0;0;7;1;2;3
09.05.2019 01:21:29;1557357689336;10;0;0;5;2;2;3
09.05.2019 01:22:29;1557357749343;10;0;0;9;1;1;3
09.05.2019 01:23:29;1557357809352;10;0;0;9;1;1;3
09.05.2019 01:24:29;1557357869361;10;0;0;7;2;1;3
09.05.2019 01:25:29;1557357929369;10;0;2;5;2;2;3
09.05.2019 01:26:29;1557357989377;10;0;0;7;2;2;3
09.05.2019 01:27:29;1557358049385;10;0;0;5;2;2;3
09.05.2019 01:28:29;1557358109394;10;0;0;7;1;1;3
09.05.2019 01:29:29;1557358169403;10;0;0;8;2;1;3
09.05.2019 01:30:29;1557358229411;10;0;0;5;2;2;3
09.05.2019 01:31:29;1557358289420;10;0;0;9;2;1;3
09.05.2019 01:32:29;1557358349428;10;0;0;5;2;2;3
09.05.2019 01:33:29;1557358409436;10;0;3;9;1;1;3
09.05.2019 01:34:29;1557358469445;10;0;2;4;2;2;3
09.05.2019 01:35:29;1557358529452;10;0;1;8;1;1;3
09.05.2019 01:36:29;1557358589462;10;0;0;7;1;1;3
09.05.2019 01:37:29;1557358649469;10;0;0;7;2;1;3
09.05.2019 01:38:29;1557358709477;10;0;1;9;2;1;3
09.05.2019 01:39:29;1557358769485;10;0;1;4;2;2;3
09.05.2019 01:40:29;1557358829494;10;0;2;7;2;1;2
09.05.2019 01:41:29;1557358889502;10;0;0;5;2;2;3
09.05.2019 01:42:29;1557358949512;10;0;0;5;2;2;3
09.05.2019 01:43:29;1557359009520;10;0;2;9;1;1;3
09.05.2019 01:44:29;1557359069529;10;0;0;8;1;1;3
09.05.2019 01:45:29;1557359129536;10;0;0;7;2;2;3
09.05.2019 01:46:29;1557359189545;10;0;0;7;2;2;3
09.05.2019 01:47:29;1557359249554;10;0;0;9;1;1;3
09.05.2019 01:48:29;1557359309563;10;0;0;9;1;1;3
09.05.2019 01:49:29;1557359369572;10;0;0;5;2;2;3
09.05.2019 01:50:29;1557359429580;10;0;2;7;2;1;3
09.05.2019 01:51:29;1557359489588;10;0;1;5;2;2;2
09.05.2019 01:52:29;1557359549596;10;0;0;9;1;1;3
09.05.2019 01:53:29;1557359609605;10;0;0;4;2;2;3
09.05.2019 01:54:29;1557359669614;10;0;0;5;2;2;3
09.05.2019 01:55:29;1557359729621;10;0;0;7;1;1;3
09.05.2019 01:56:29;1557359789629;10;0;0;5;2;2;3
09.05.2019 01:57:29;1557359849638;10;0;0;5;2;2;3
09.05.2019 01:58:29;1557359909646;10;0;0;9;1;1;3
09.05.2019 01:59:29;1557359969656;10;0;2;5;2;2;3
09.05.2019 02:00:29;1557360029663;10;0;0;5;2;2;3
09.05.2019 02:01:29;1557360089675;10;0;0;4;2;2;3
09.05.2019 02:02:29;1557360149686;10;0;1;4;2;2;3
09.05.2019 02:03:29;1557360209696;10;0;2;9;1;1;3
09.05.2019 02:04:29;1557360269708;10;0;1;5;2;2;3
09.05.2019 02:05:29;1557360329718;10;0;1;7;2;2;3
09.05.2019 02:06:29;1557360389729;10;0;2;9;1;1;3
09.05.2019 02:07:29;1557360449740;10;0;0;10;1;1;3
09.05.2019 02:08:29;1557360509750;10;0;2;7;2;2;3
09.05.2019 02:09:29;1557360569761;10;0;0;7;1;1;3
09.05.2019 02:10:29;1557360629772;10;0;0;4;2;2;3
09.05.2019 02:11:29;1557360689783;10;0;0;5;2;2;3
09.05.2019 02:12:29;1557360749794;10;0;2;7;2;2;3
09.05.2019 02:13:29;1557360809805;10;0;2;6;2;1;3
09.05.2019 02:14:39;1557360879817;10;0;0;9;1;1;3
09.05.2019 02:15:39;1557360939828;10;0;2;8;2;1;3
09.05.2019 02:16:39;1557360999841;10;0;0;6;2;2;3
09.05.2019 02:17:39;1557361059851;10;0;1;7;2;2;3
09.05.2019 02:18:39;1557361119861;10;0;1;8;1;1;3
09.05.2019 02:19:48;1557361188915;10;0;2;7;1;1;2
09.05.2019 02:20:58;1557361258886;10;0;2;5;2;2;2
09.05.2019 02:21:58;1557361318897;10;0;2;7;1;1;3
