Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye
05.06.2019 00:00:39;1559685639313;10;0;7;0;5;2;7
05.06.2019 00:01:49;1559685709309;10;0;0;0;3;0;3
05.06.2019 00:02:59;1559685779304;10;0;0;0;5;1;3
05.06.2019 00:04:09;1559685849298;10;0;8;0;6;2;5
05.06.2019 00:05:19;1559685919293;10;0;2;0;3;0;2
05.06.2019 00:06:29;1559685989289;10;0;2;0;3;0;3
05.06.2019 00:07:39;1559686059285;10;0;6;0;5;2;6
05.06.2019 00:08:49;1559686129279;10;0;2;0;2;0;1
05.06.2019 00:09:59;1559686199274;10;0;6;0;2;0;6
05.06.2019 00:11:09;1559686269270;10;0;3;0;2;0;1
05.06.2019 00:12:19;1559686339266;10;0;0;0;3;0;2
05.06.2019 00:13:29;1559686409261;10;0;8;0;6;2;6
05.06.2019 00:14:39;1559686479255;10;0;7;0;5;2;6
05.06.2019 00:15:49;1559686549251;10;0;3;0;5;0;4
05.06.2019 00:16:59;1559686619247;10;0;0;0;3;0;2
05.06.2019 00:18:09;1559686689242;10;0;10;0;5;2;6
05.06.2019 00:19:19;1559686759237;10;0;2;0;1;0;3
05.06.2019 00:20:29;1559686829234;10;0;6;0;6;2;5
05.06.2019 00:21:39;1559686899230;10;0;0;0;3;0;2
05.06.2019 00:22:49;1559686969225;10;0;1;0;3;0;3
05.06.2019 00:23:59;1559687039220;10;0;1;0;4;0;3
05.06.2019 00:25:09;1559687109215;10;0;6;0;6;2;4
05.06.2019 00:26:19;1559687179210;10;0;8;0;3;2;6
05.06.2019 00:27:29;1559687249206;10;0;6;0;0;0;5
05.06.2019 00:28:39;1559687319201;10;0;8;0;4;2;6
05.06.2019 00:29:49;1559687389195;10;0;2;0;5;0;3
05.06.2019 00:30:59;1559687459191;10;0;4;0;0;0;3
05.06.2019 00:32:09;1559687529187;10;0;2;0;3;0;1
05.06.2019 00:33:19;1559687599183;10;0;1;0;6;2;4
05.06.2019 00:34:29;1559687669179;10;0;8;0;5;2;6
05.06.2019 00:35:39;1559687739174;10;0;2;0;3;0;1
05.06.2019 00:36:49;1559687809169;10;0;1;0;1;0;1
05.06.2019 00:37:59;1559687879164;10;0;6;0;5;1;4
05.06.2019 00:39:09;1559687949159;10;0;2;0;1;0;5
05.06.2019 00:40:19;1559688019154;10;0;5;0;2;2;7
05.06.2019 00:41:29;1559688089150;10;0;0;0;5;0;4
05.06.2019 00:42:39;1559688159145;10;0;1;0;1;0;2
05.06.2019 00:43:49;1559688229140;10;0;5;0;6;2;5
05.06.2019 00:44:59;1559688299136;10;0;2;0;2;0;1
05.06.2019 00:46:09;1559688369130;10;0;3;0;1;0;4
05.06.2019 00:47:19;1559688439126;10;0;0;0;3;0;2
05.06.2019 00:48:29;1559688509120;10;0;8;0;7;2;5
05.06.2019 00:49:39;1559688579115;10;0;10;0;7;2;6
05.06.2019 00:50:49;1559688649110;10;0;0;0;4;0;3
05.06.2019 00:52:00;1559688720106;10;0;4;0;5;1;4
05.06.2019 00:53:09;1559688789102;10;0;5;0;6;2;5
05.06.2019 00:54:19;1559688859098;10;0;4;0;6;1;4
05.06.2019 00:55:29;1559688929093;10;0;2;0;6;1;4
05.06.2019 00:56:39;1559688999088;10;0;0;0;2;0;1
05.06.2019 00:57:49;1559689069083;10;0;8;0;6;2;6
05.06.2019 00:58:59;1559689139079;10;0;4;0;1;0;4
05.06.2019 01:00:09;1559689209075;10;0;8;0;3;2;8
05.06.2019 01:01:09;1559689269078;10;0;7;0;7;2;4
05.06.2019 01:02:19;1559689339076;10;0;1;0;5;1;4
05.06.2019 01:03:29;1559689409070;10;0;6;0;2;0;6
05.06.2019 01:04:39;1559689479068;10;0;5;0;1;0;2
05.06.2019 01:05:49;1559689549065;10;0;6;0;3;2;7
05.06.2019 01:06:59;1559689619087;10;0;3;0;2;0;2
05.06.2019 01:08:09;1559689689063;10;0;6;0;3;0;7
05.06.2019 01:09:20;1559689760061;10;0;5;0;3;0;7
05.06.2019 01:10:29;1559689829060;10;0;0;0;4;0;4
05.06.2019 01:11:29;1559689889068;10;0;5;0;6;2;4
05.06.2019 01:12:29;1559689949077;10;0;3;0;2;0;6
05.06.2019 01:13:39;1559690019082;10;0;4;0;1;0;6
05.06.2019 01:14:49;1559690089081;10;0;8;0;4;2;7
05.06.2019 01:15:59;1559690159093;10;0;3;0;2;0;5
05.06.2019 01:17:09;1559690229048;10;0;3;0;0;0;4
05.06.2019 01:18:09;1559690289048;10;0;2;0;1;0;3
05.06.2019 01:19:09;1559690349063;10;0;8;0;3;2;6
05.06.2019 01:20:09;1559690409078;10;0;8;0;3;2;6
05.06.2019 01:21:19;1559690479042;10;0;1;0;5;1;3
05.06.2019 01:22:29;1559690549040;10;0;0;0;3;0;1
05.06.2019 01:23:29;1559690609040;10;0;1;0;2;0;2
