Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye
11.05.2019 00:00:26;1557525626429;10;0;3;10;1;1;3
11.05.2019 00:01:26;1557525686434;10;0;0;7;2;2;3
11.05.2019 00:02:26;1557525746441;10;0;3;10;1;1;3
11.05.2019 00:03:26;1557525806447;10;0;3;10;1;2;3
11.05.2019 00:04:26;1557525866454;10;10;2;9;1;2;3
11.05.2019 00:05:26;1557525926458;10;0;2;9;1;1;3
11.05.2019 00:06:26;1557525986463;10;0;0;8;1;2;3
11.05.2019 00:07:26;1557526046472;10;10;2;4;2;2;3
11.05.2019 00:08:26;1557526106478;10;0;2;9;1;1;3
11.05.2019 00:09:26;1557526166481;10;0;0;7;2;2;3
11.05.2019 00:10:26;1557526226490;10;10;1;6;2;2;3
11.05.2019 00:11:26;1557526286492;10;0;0;8;2;2;3
11.05.2019 00:12:26;1557526346499;10;0;0;9;2;2;3
11.05.2019 00:13:26;1557526406505;10;0;0;7;2;2;3
11.05.2019 00:14:26;1557526466510;10;0;3;9;2;2;3
11.05.2019 00:15:26;1557526526516;10;0;0;9;2;1;3
11.05.2019 00:16:26;1557526586522;10;0;3;5;2;2;3
11.05.2019 00:17:26;1557526646528;10;0;2;4;2;2;3
11.05.2019 00:18:26;1557526706534;10;0;2;6;2;2;3
11.05.2019 00:19:26;1557526766540;10;0;3;4;2;2;3
11.05.2019 00:20:26;1557526826549;10;0;2;7;2;2;3
11.05.2019 00:21:26;1557526886551;10;0;0;5;2;2;3
11.05.2019 00:22:26;1557526946557;10;0;3;9;1;1;3
11.05.2019 00:23:26;1557527006566;10;0;3;7;1;1;3
11.05.2019 00:24:26;1557527066572;10;0;3;7;1;2;3
11.05.2019 00:25:26;1557527126578;10;0;3;6;2;2;3
11.05.2019 00:26:26;1557527186580;10;0;2;6;2;2;3
11.05.2019 00:27:26;1557527246587;10;0;1;5;2;2;3
11.05.2019 00:28:26;1557527306593;10;0;3;5;2;2;3
11.05.2019 00:29:26;1557527366598;10;0;0;6;2;2;3
11.05.2019 00:30:26;1557527426604;10;0;3;9;1;1;3
11.05.2019 00:31:26;1557527486610;10;0;1;4;2;2;3
11.05.2019 00:32:26;1557527546617;10;0;2;7;2;2;3
11.05.2019 00:33:26;1557527606623;10;0;3;5;2;2;3
11.05.2019 00:34:26;1557527666629;10;0;2;5;2;2;3
11.05.2019 00:35:26;1557527726635;10;0;3;9;1;1;3
11.05.2019 00:36:26;1557527786640;10;0;0;5;2;2;3
11.05.2019 00:37:26;1557527846646;10;0;0;7;2;2;3
11.05.2019 00:38:26;1557527906657;10;0;3;7;2;2;3
11.05.2019 00:39:26;1557527966659;10;0;0;7;2;2;3
11.05.2019 00:40:26;1557528026666;10;0;0;5;2;2;3
11.05.2019 00:41:26;1557528086673;10;0;3;7;1;2;3
11.05.2019 00:42:26;1557528146679;10;0;3;6;2;2;3
11.05.2019 00:43:26;1557528206682;10;0;3;9;1;1;3
11.05.2019 00:44:26;1557528266688;10;0;1;4;2;2;3
11.05.2019 00:45:26;1557528326695;10;0;1;6;2;2;3
11.05.2019 00:46:26;1557528386700;10;0;3;9;1;1;3
11.05.2019 00:47:26;1557528446705;10;0;1;7;2;2;3
11.05.2019 00:48:26;1557528506712;10;0;0;7;2;2;3
11.05.2019 00:49:26;1557528566719;10;0;0;10;2;1;3
11.05.2019 00:50:26;1557528626723;10;0;3;4;2;2;3
11.05.2019 00:51:26;1557528686730;10;0;0;5;2;2;3
11.05.2019 00:52:26;1557528746736;10;0;0;5;2;2;3
11.05.2019 00:53:26;1557528806741;10;0;2;7;2;2;3
11.05.2019 00:54:26;1557528866747;10;0;3;8;2;2;3
11.05.2019 00:55:26;1557528926752;10;0;0;5;2;2;3
11.05.2019 00:56:26;1557528986759;10;0;3;9;1;1;3
11.05.2019 00:57:26;1557529046764;10;0;3;9;1;1;3
11.05.2019 00:58:26;1557529106776;10;10;3;9;2;2;3
11.05.2019 00:59:26;1557529166776;10;0;3;7;2;2;3
11.05.2019 01:00:26;1557529226781;10;0;0;9;1;1;3
11.05.2019 01:01:26;1557529286788;10;10;0;8;2;2;3
11.05.2019 01:02:26;1557529346789;10;0;3;9;1;1;3
11.05.2019 01:03:26;1557529406793;10;0;3;9;1;1;3
11.05.2019 01:04:26;1557529466800;10;10;0;9;2;1;3
11.05.2019 01:05:26;1557529526800;10;0;0;5;2;2;3
11.05.2019 01:06:26;1557529586803;10;0;2;6;2;2;3
11.05.2019 01:07:26;1557529646807;10;0;1;7;2;2;3
11.05.2019 01:08:26;1557529706810;10;0;2;7;2;2;3
11.05.2019 01:09:26;1557529766817;10;10;3;5;2;2;3
11.05.2019 01:10:26;1557529826817;10;0;1;7;2;2;3
11.05.2019 01:11:26;1557529886824;10;0;3;7;1;2;3
11.05.2019 01:12:26;1557529946824;10;0;2;8;1;1;3
11.05.2019 01:13:26;1557530006828;10;0;1;5;2;2;3
11.05.2019 01:14:26;1557530066831;10;0;1;7;1;1;3
11.05.2019 01:15:26;1557530126834;10;0;3;6;2;2;3
11.05.2019 01:16:26;1557530186836;10;0;1;9;1;1;3
11.05.2019 01:17:26;1557530246840;10;0;2;7;2;2;3
11.05.2019 01:18:26;1557530306844;10;0;1;9;1;1;3
