Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye
06.05.2019 00:00:44;1557093644163;10;10;1;6;1;1;2
06.05.2019 00:01:54;1557093714148;10;0;1;10;1;1;3
06.05.2019 00:03:04;1557093784132;10;0;1;4;2;2;2
06.05.2019 00:04:14;1557093854119;10;0;1;7;1;1;2
06.05.2019 00:05:24;1557093924105;10;0;1;9;1;1;2
06.05.2019 00:06:34;1557093994093;10;0;0;9;1;1;2
06.05.2019 00:07:44;1557094064082;10;10;1;9;1;1;2
06.05.2019 00:08:54;1557094134065;10;0;1;7;1;1;2
06.05.2019 00:10:04;1557094204052;10;0;0;4;1;2;2
06.05.2019 00:11:14;1557094274038;10;0;1;9;1;1;2
06.05.2019 00:12:24;1557094344024;10;0;0;5;1;1;2
06.05.2019 00:13:34;1557094414012;10;0;1;6;1;1;2
06.05.2019 00:14:43;1557094483997;10;0;1;7;1;1;2
06.05.2019 00:15:53;1557094553984;20;0;1;7;1;1;2
06.05.2019 00:17:03;1557094623970;10;0;1;9;1;1;2
06.05.2019 00:18:13;1557094693956;10;0;1;5;2;1;2
06.05.2019 00:19:23;1557094763943;10;0;1;9;1;1;2
06.05.2019 00:20:33;1557094833928;10;0;1;6;1;1;2
06.05.2019 00:21:43;1557094903915;10;0;1;6;1;1;2
06.05.2019 00:22:53;1557094973902;10;0;1;6;1;1;2
06.05.2019 00:24:03;1557095043888;10;0;1;6;1;1;3
06.05.2019 00:25:13;1557095113875;10;0;1;7;1;1;3
06.05.2019 00:26:23;1557095183861;10;0;1;9;1;1;2
06.05.2019 00:27:33;1557095253847;10;0;1;6;1;1;2
06.05.2019 00:28:43;1557095323835;10;0;1;8;1;1;2
06.05.2019 00:29:53;1557095393821;10;0;0;8;1;1;2
06.05.2019 00:31:03;1557095463807;10;0;1;5;1;1;2
06.05.2019 00:32:13;1557095533793;10;0;1;8;1;1;2
06.05.2019 00:33:23;1557095603780;10;0;1;7;1;1;2
06.05.2019 00:34:24;1557095664771;10;10;1;4;2;2;2
06.05.2019 00:35:33;1557095733755;10;0;1;5;1;1;2
06.05.2019 00:36:43;1557095803740;10;0;0;5;2;1;2
06.05.2019 00:37:53;1557095873729;10;0;1;9;1;1;2
06.05.2019 00:39:03;1557095943715;10;0;1;7;1;1;2
06.05.2019 00:40:13;1557096013730;10;10;1;6;1;1;3
