Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye
01.05.2019 00:00:31;1556661631812;10;0;0;5;2;2;3
01.05.2019 00:01:31;1556661691817;10;0;2;9;1;1;3
01.05.2019 00:02:31;1556661751822;10;0;0;9;1;1;3
01.05.2019 00:03:31;1556661811825;10;0;0;10;1;1;3
01.05.2019 00:04:31;1556661871827;10;0;0;9;1;1;3
01.05.2019 00:05:31;1556661931831;10;0;2;9;1;1;2
01.05.2019 00:06:31;1556661991836;10;0;0;10;1;1;3
01.05.2019 00:07:31;1556662051839;10;0;1;7;1;1;2
01.05.2019 00:08:31;1556662111841;10;0;0;5;2;2;2
01.05.2019 00:09:31;1556662171844;10;0;0;4;2;2;3
01.05.2019 00:10:31;1556662231848;10;0;0;9;1;1;3
01.05.2019 00:11:31;1556662291851;10;0;0;9;1;1;3
01.05.2019 00:12:31;1556662351854;10;0;0;8;1;1;2
01.05.2019 00:13:31;1556662411858;10;0;1;9;1;1;3
01.05.2019 00:14:31;1556662471863;10;0;1;10;1;1;3
01.05.2019 00:15:31;1556662531865;10;0;0;10;1;1;3
01.05.2019 00:16:31;1556662591870;10;0;2;10;1;1;3
01.05.2019 00:17:31;1556662651871;10;0;0;4;2;2;3
01.05.2019 00:18:31;1556662711875;10;0;0;5;1;1;2
01.05.2019 00:19:31;1556662771880;10;0;0;7;1;1;2
01.05.2019 00:20:31;1556662831884;10;0;0;7;1;1;3
01.05.2019 00:21:31;1556662891887;10;0;2;10;1;1;3
01.05.2019 00:22:31;1556662951889;10;0;1;5;2;2;3
01.05.2019 00:23:31;1556663011893;10;0;0;6;1;1;3
01.05.2019 00:24:31;1556663071897;10;0;1;7;1;1;3
01.05.2019 00:25:31;1556663131900;10;0;2;9;1;1;3
01.05.2019 00:26:31;1556663191904;10;0;0;7;1;1;3
01.05.2019 00:27:31;1556663251907;10;0;0;9;1;1;3
01.05.2019 00:28:31;1556663311910;10;0;2;9;1;1;2
01.05.2019 00:29:31;1556663371914;10;0;1;5;2;2;3
01.05.2019 00:30:31;1556663431917;10;0;1;5;2;2;3
01.05.2019 00:31:31;1556663491920;10;0;1;7;1;1;3
01.05.2019 00:32:31;1556663551924;10;0;0;9;1;1;2
01.05.2019 00:33:31;1556663611927;10;0;0;10;1;1;3
01.05.2019 00:34:31;1556663671931;10;0;0;5;1;1;2
01.05.2019 00:35:31;1556663731933;10;0;0;9;1;1;3
01.05.2019 00:36:31;1556663791938;10;0;2;10;1;1;3
01.05.2019 00:37:31;1556663851941;10;0;0;7;2;1;3
01.05.2019 00:38:31;1556663911944;10;0;1;6;2;2;3
01.05.2019 00:39:31;1556663971948;10;0;0;7;1;1;2
01.05.2019 00:40:31;1556664031951;10;0;3;9;1;1;3
01.05.2019 00:41:31;1556664091956;10;0;0;11;1;1;2
01.05.2019 00:42:31;1556664151957;10;0;0;6;2;1;3
01.05.2019 00:43:31;1556664211962;10;0;0;10;1;1;3
01.05.2019 00:44:31;1556664271965;10;0;1;10;1;1;3
01.05.2019 00:45:31;1556664331968;10;0;1;10;1;1;3
01.05.2019 00:46:31;1556664391970;10;0;1;9;1;1;3
01.05.2019 00:47:31;1556664451975;10;0;0;4;2;2;3
01.05.2019 00:48:31;1556664511977;10;0;1;7;1;1;2
01.05.2019 00:49:31;1556664571982;10;0;1;7;1;1;3
01.05.2019 00:50:31;1556664631984;10;0;0;6;1;2;2
01.05.2019 00:51:31;1556664691988;10;0;0;9;1;1;3
01.05.2019 00:52:31;1556664751990;10;0;0;9;1;1;3
01.05.2019 00:53:31;1556664811994;10;0;0;6;2;2;3
01.05.2019 00:54:31;1556664871999;10;0;2;10;1;1;3
01.05.2019 00:55:32;1556664932001;10;0;2;9;1;1;3
01.05.2019 00:56:32;1556664992003;10;0;0;5;2;1;2
01.05.2019 00:57:32;1556665052007;10;0;0;9;1;1;3
01.05.2019 00:58:32;1556665112010;10;0;0;9;1;1;3
01.05.2019 00:59:32;1556665172016;10;0;0;11;1;1;3
01.05.2019 01:00:32;1556665232020;10;0;2;11;1;1;3
01.05.2019 01:01:32;1556665292024;10;0;0;7;1;1;2
01.05.2019 01:02:32;1556665352030;10;0;0;11;1;1;3
01.05.2019 01:03:32;1556665412037;10;0;0;7;1;1;2
01.05.2019 01:04:32;1556665472042;10;0;0;10;1;1;3
01.05.2019 01:05:32;1556665532048;10;0;1;9;1;1;3
01.05.2019 01:06:32;1556665592054;10;0;0;7;2;1;3
01.05.2019 01:07:32;1556665652059;10;0;0;7;1;1;3
01.05.2019 01:08:32;1556665712065;10;0;0;7;2;1;3
01.05.2019 01:09:32;1556665772071;10;0;0;8;1;1;2
01.05.2019 01:10:32;1556665832077;10;0;0;5;2;2;2
01.05.2019 01:11:32;1556665892083;10;0;0;7;1;1;3
01.05.2019 01:12:32;1556665952088;10;0;0;5;2;2;3
01.05.2019 01:13:32;1556666012096;10;0;0;10;1;1;3
01.05.2019 01:14:32;1556666072101;10;0;1;5;2;1;3
01.05.2019 01:15:32;1556666132106;10;0;0;6;1;1;3
01.05.2019 01:16:32;1556666192112;10;0;0;7;1;1;2
01.05.2019 01:17:32;1556666252117;10;0;0;7;1;1;3
01.05.2019 01:18:32;1556666312124;10;0;0;5;2;2;3
01.05.2019 01:19:32;1556666372130;10;0;0;6;1;1;3
01.05.2019 01:20:41;1556666441165;10;0;2;10;1;1;3
01.05.2019 01:21:52;1556666512143;10;0;0;7;1;1;3
01.05.2019 01:22:52;1556666572149;10;0;0;9;1;1;3
01.05.2019 01:23:52;1556666632155;10;0;0;7;1;1;2
01.05.2019 01:24:52;1556666692161;10;0;0;9;1;1;3
01.05.2019 01:26:01;1556666761183;10;0;1;5;1;2;2
01.05.2019 01:27:01;1556666821190;10;0;0;10;1;1;3
01.05.2019 01:28:11;1556666891181;10;0;0;5;2;2;3
01.05.2019 01:29:11;1556666951188;10;0;0;6;2;1;3
01.05.2019 01:30:11;1556667011246;10;0;2;10;1;1;3
01.05.2019 01:31:12;1556667072200;10;0;1;7;1;1;3
