Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye
02.05.2019 00:00:00;1556748000149;10;0;0;7;2;2;3
02.05.2019 00:01:00;1556748060158;10;0;1;6;1;2;3
02.05.2019 00:02:00;1556748120168;10;0;0;7;2;2;3
02.05.2019 00:03:00;1556748180180;10;0;0;5;2;2;3
02.05.2019 00:04:00;1556748240190;10;0;1;6;2;2;3
02.05.2019 00:05:00;1556748300202;10;0;3;5;2;2;3
02.05.2019 00:06:00;1556748360212;10;0;0;5;2;2;3
02.05.2019 00:07:00;1556748420223;10;0;3;7;2;2;3
02.05.2019 00:08:00;1556748480234;10;0;3;7;1;1;3
02.05.2019 00:09:00;1556748540246;10;0;3;8;1;1;3
02.05.2019 00:10:00;1556748600258;10;0;0;9;1;1;3
02.05.2019 00:11:00;1556748660270;10;0;2;10;1;1;3
02.05.2019 00:12:00;1556748720280;10;0;3;10;1;1;3
02.05.2019 00:13:00;1556748780294;10;10;0;7;2;1;3
02.05.2019 00:14:00;1556748840300;10;0;3;7;1;1;3
02.05.2019 00:15:00;1556748900312;10;0;0;7;2;2;3
02.05.2019 00:16:00;1556748960323;10;0;3;7;2;2;3
02.05.2019 00:17:00;1556749020334;10;0;0;7;2;2;3
02.05.2019 00:18:00;1556749080348;10;10;0;5;2;2;3
02.05.2019 00:19:00;1556749140355;10;0;3;9;1;1;3
02.05.2019 00:20:00;1556749200367;10;0;0;7;2;2;3
02.05.2019 00:21:00;1556749260377;10;0;0;9;1;1;3
02.05.2019 00:22:00;1556749320388;10;0;0;7;2;2;3
02.05.2019 00:23:00;1556749380403;10;10;1;10;1;1;3
02.05.2019 00:24:00;1556749440410;10;0;0;5;2;2;3
02.05.2019 00:25:00;1556749500420;10;0;2;7;2;2;3
02.05.2019 00:26:00;1556749560437;10;10;3;10;1;1;3
02.05.2019 00:27:00;1556749620442;10;0;2;5;2;2;3
02.05.2019 00:28:00;1556749680452;10;0;0;7;1;1;3
02.05.2019 00:29:00;1556749740464;10;0;1;5;2;2;3
02.05.2019 00:30:00;1556749800476;10;0;2;4;2;2;3
02.05.2019 00:31:00;1556749860486;10;0;3;8;1;1;3
02.05.2019 00:32:00;1556749920501;10;10;2;7;2;2;3
02.05.2019 00:33:00;1556749980508;10;0;0;5;2;2;3
02.05.2019 00:34:00;1556750040518;10;0;0;7;2;2;3
02.05.2019 00:35:00;1556750100530;10;0;0;8;1;1;3
02.05.2019 00:36:00;1556750160541;10;0;3;9;2;2;3
02.05.2019 00:37:00;1556750220552;10;0;2;9;2;1;3
02.05.2019 00:38:00;1556750280563;10;0;0;10;1;1;3
02.05.2019 00:39:00;1556750340572;10;0;0;5;2;2;3
02.05.2019 00:40:00;1556750400584;10;0;2;7;2;2;3
02.05.2019 00:41:00;1556750460595;10;0;0;4;2;2;3
02.05.2019 00:42:00;1556750520605;10;0;1;6;2;2;3
02.05.2019 00:43:00;1556750580615;10;0;0;4;2;2;3
02.05.2019 00:44:00;1556750640632;10;10;2;10;1;1;3
02.05.2019 00:45:00;1556750700638;10;0;0;7;2;2;3
02.05.2019 00:46:00;1556750760649;10;0;0;5;2;2;3
02.05.2019 00:47:00;1556750820663;10;10;1;8;1;1;3
02.05.2019 00:48:09;1556750889701;10;0;0;6;2;2;3
02.05.2019 00:49:09;1556750949702;20;0;3;5;2;2;3
02.05.2019 00:50:19;1556751019700;10;10;0;10;1;1;3
02.05.2019 00:51:20;1556751080706;10;0;3;7;1;1;3
02.05.2019 00:52:29;1556751149749;10;0;0;7;2;2;3
02.05.2019 00:53:39;1556751219731;10;0;1;9;1;1;3
02.05.2019 00:54:39;1556751279746;10;10;0;9;1;1;3
02.05.2019 00:55:39;1556751339757;10;10;3;9;1;1;3
02.05.2019 00:56:39;1556751399766;10;0;3;10;1;1;3
02.05.2019 00:57:39;1556751459780;10;10;3;9;1;1;3
02.05.2019 00:58:39;1556751519792;10;10;1;9;1;1;3
02.05.2019 00:59:39;1556751579800;10;0;3;9;1;1;3
02.05.2019 01:00:39;1556751639810;10;0;0;9;1;1;3
02.05.2019 01:01:39;1556751699821;10;0;3;9;1;1;3
02.05.2019 01:02:39;1556751759832;10;0;0;6;2;2;3
02.05.2019 01:03:39;1556751819843;10;0;0;9;1;1;3
02.05.2019 01:04:39;1556751879853;10;0;-1;5;2;2;3
02.05.2019 01:05:39;1556751939864;10;0;0;9;1;1;3
02.05.2019 01:06:39;1556751999878;10;10;0;5;2;2;3
02.05.2019 01:07:39;1556752059885;10;0;0;6;2;2;3
02.05.2019 01:08:39;1556752119900;10;10;0;10;1;1;3
