Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye;InsideTable2;InsideWork2
08.07.2019 00:00:22;1562536822683;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
08.07.2019 00:01:22;1562536882684;10.00;0.00;0.03;0.00;0.00;34.00;3.00;0.00;0.00
08.07.2019 00:02:22;1562536942684;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
08.07.2019 00:03:22;1562537002685;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
08.07.2019 00:04:22;1562537062687;10.00;0.00;0.03;0.00;0.00;36.00;3.00;0.00;0.00
08.07.2019 00:05:22;1562537122687;10.00;0.00;0.03;0.00;0.00;28.00;3.00;0.00;0.00
08.07.2019 00:06:22;1562537182688;10.00;0.00;0.03;0.00;0.00;27.00;3.00;0.00;0.00
08.07.2019 00:07:22;1562537242689;10.00;0.00;0.03;0.00;0.00;28.00;3.00;0.00;0.00
08.07.2019 00:08:22;1562537302690;10.00;0.00;0.03;0.00;0.00;33.00;3.00;0.00;0.00
08.07.2019 00:09:22;1562537362690;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
08.07.2019 00:10:22;1562537422691;10.00;0.00;0.03;0.00;0.00;28.00;3.00;0.00;0.00
08.07.2019 00:11:22;1562537482692;10.00;0.00;0.03;0.00;0.00;36.00;3.00;0.00;0.00
08.07.2019 00:12:22;1562537542693;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
08.07.2019 00:13:22;1562537602695;10.00;0.00;0.03;0.00;0.00;36.00;3.00;0.00;0.00
08.07.2019 00:14:22;1562537662695;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
08.07.2019 00:15:22;1562537722695;10.00;0.00;0.03;0.00;0.00;30.00;3.00;0.00;0.00
08.07.2019 00:16:22;1562537782697;10.00;0.00;0.03;0.00;0.00;28.00;3.00;0.00;0.00
08.07.2019 00:17:22;1562537842697;10.00;0.00;0.03;0.00;0.00;36.00;3.00;0.00;0.00
08.07.2019 00:18:22;1562537902697;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
08.07.2019 00:19:22;1562537962699;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
08.07.2019 00:20:22;1562538022700;10.00;0.00;0.03;0.00;0.00;28.00;3.00;0.00;0.00
08.07.2019 00:21:22;1562538082701;10.00;0.00;0.03;0.00;0.00;27.00;3.00;0.00;0.00
08.07.2019 00:22:22;1562538142701;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
08.07.2019 00:23:22;1562538202702;10.00;0.00;0.03;0.00;0.00;26.00;3.00;0.00;0.00
08.07.2019 00:24:22;1562538262703;10.00;0.00;0.03;0.00;0.00;29.00;3.00;0.00;0.00
08.07.2019 00:25:22;1562538322704;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
08.07.2019 00:26:22;1562538382705;10.00;0.00;0.03;0.00;0.00;28.00;3.00;0.00;0.00
08.07.2019 00:27:22;1562538442706;10.00;0.00;0.03;0.00;0.00;36.00;3.00;0.00;0.00
08.07.2019 00:28:22;1562538502706;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
08.07.2019 00:29:22;1562538562708;10.00;0.00;0.03;0.00;0.00;36.00;3.00;0.00;0.00
08.07.2019 00:30:22;1562538622709;10.00;0.00;0.03;0.00;0.00;36.00;3.00;0.00;0.00
08.07.2019 00:31:22;1562538682710;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
08.07.2019 00:32:22;1562538742710;10.00;0.00;0.03;0.00;0.00;28.00;3.00;0.00;0.00
08.07.2019 00:33:22;1562538802712;10.00;0.00;0.03;0.00;0.00;28.00;3.00;0.00;0.00
08.07.2019 00:34:22;1562538862712;10.00;0.00;0.03;0.00;0.00;28.00;3.00;0.00;0.00
08.07.2019 00:35:22;1562538922712;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
08.07.2019 00:36:22;1562538982714;10.00;0.00;0.03;0.00;0.00;26.00;3.00;0.00;0.00
08.07.2019 00:37:22;1562539042714;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
08.07.2019 00:38:22;1562539102716;10.00;0.00;0.03;0.00;0.00;36.00;3.00;0.00;0.00
08.07.2019 00:39:22;1562539162716;10.00;0.00;0.03;0.00;0.00;28.00;3.00;0.00;0.00
08.07.2019 00:40:22;1562539222716;10.00;0.00;0.03;0.00;0.00;26.00;3.00;0.00;0.00
08.07.2019 00:41:22;1562539282718;10.00;0.00;0.03;0.00;0.00;28.00;3.00;0.00;0.00
08.07.2019 00:42:22;1562539342718;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
08.07.2019 00:43:22;1562539402719;10.00;0.00;0.03;0.00;0.00;29.00;3.00;0.00;0.00
08.07.2019 00:44:22;1562539462720;10.00;0.00;0.03;0.00;0.00;34.00;3.00;0.00;0.00
08.07.2019 00:45:22;1562539522722;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
08.07.2019 00:46:22;1562539582722;10.00;0.00;0.03;0.00;0.00;29.00;3.00;0.00;0.00
08.07.2019 00:47:22;1562539642724;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
08.07.2019 00:48:22;1562539702724;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
08.07.2019 00:49:22;1562539762724;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
08.07.2019 00:50:22;1562539822726;10.00;0.00;0.03;0.00;0.00;27.00;3.00;0.00;0.00
08.07.2019 00:51:22;1562539882726;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
08.07.2019 00:52:22;1562539942726;10.00;0.00;0.03;0.00;0.00;36.00;3.00;0.00;0.00
08.07.2019 00:53:22;1562540002728;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
08.07.2019 00:54:22;1562540062728;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
08.07.2019 00:55:22;1562540122729;10.00;0.00;0.03;0.00;0.00;36.00;3.00;0.00;0.00
