Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye;InsideTable2;InsideWork2
06.07.2019 00:00:15;1562364015616;10.00;0.00;0.03;0.00;0.00;33.00;3.00;0.00;0.00
06.07.2019 00:01:15;1562364075618;10.00;0.00;0.06;0.00;0.00;31.00;3.00;0.00;0.00
06.07.2019 00:02:25;1562364145612;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
06.07.2019 00:03:25;1562364205613;10.00;0.00;0.06;0.00;0.00;35.00;3.00;0.00;0.00
06.07.2019 00:04:35;1562364275609;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
06.07.2019 00:05:35;1562364335610;10.00;0.00;0.06;0.00;0.00;31.00;3.00;0.00;0.00
06.07.2019 00:06:35;1562364395610;10.00;0.00;0.06;0.00;0.00;31.00;3.00;0.00;0.00
06.07.2019 00:07:45;1562364465606;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
06.07.2019 00:08:55;1562364535605;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
06.07.2019 00:10:05;1562364605605;10.00;0.00;0.06;0.00;0.00;31.00;3.00;0.00;0.00
06.07.2019 00:11:15;1562364675602;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
06.07.2019 00:12:25;1562364745601;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
06.07.2019 00:13:35;1562364815601;10.00;0.00;0.06;0.00;0.00;39.00;3.00;0.00;0.00
06.07.2019 00:14:45;1562364885597;10.00;0.00;0.03;0.00;0.00;37.00;3.00;0.00;0.00
06.07.2019 00:15:55;1562364955597;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
06.07.2019 00:17:05;1562365025594;10.00;0.00;0.03;0.00;0.00;36.00;3.00;0.00;0.00
06.07.2019 00:18:15;1562365095594;10.00;0.00;0.03;0.00;0.00;30.00;3.00;0.00;0.00
06.07.2019 00:19:25;1562365165591;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
06.07.2019 00:20:25;1562365225592;10.00;0.00;0.06;0.00;0.00;34.00;3.00;0.00;0.00
06.07.2019 00:21:35;1562365295589;10.00;0.00;0.03;0.00;0.00;38.00;3.00;0.00;0.00
06.07.2019 00:22:45;1562365365589;10.00;0.00;0.06;0.00;0.00;31.00;3.00;0.00;0.00
06.07.2019 00:23:55;1562365435585;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
06.07.2019 00:24:55;1562365495585;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
06.07.2019 00:26:05;1562365565583;10.00;0.00;0.06;0.00;0.00;32.00;3.00;0.00;0.00
06.07.2019 00:27:15;1562365635580;10.00;0.00;0.03;0.00;0.00;39.00;3.00;0.00;0.00
06.07.2019 00:28:25;1562365705580;10.00;0.00;0.06;0.00;0.00;36.00;3.00;0.00;0.00
06.07.2019 00:29:35;1562365775578;10.00;0.00;0.06;0.00;0.00;39.00;3.00;0.00;0.00
06.07.2019 00:30:45;1562365845576;10.00;0.00;0.03;0.00;0.00;34.00;3.00;0.00;0.00
06.07.2019 00:31:55;1562365915573;10.00;0.00;0.03;0.00;0.00;39.00;3.00;0.00;0.00
06.07.2019 00:33:05;1562365985574;10.00;0.00;0.06;0.00;0.00;31.00;3.00;0.00;0.00
06.07.2019 00:34:15;1562366055571;10.00;0.00;0.03;0.00;0.00;36.00;3.00;0.00;0.00
06.07.2019 00:35:25;1562366125570;10.00;0.00;0.03;0.00;0.00;30.00;3.00;0.00;0.00
06.07.2019 00:36:35;1562366195570;10.00;0.00;0.06;0.00;0.00;39.00;3.00;0.00;0.00
06.07.2019 00:37:45;1562366265567;10.00;0.00;0.03;0.00;0.00;37.00;3.00;0.00;0.00
06.07.2019 00:38:55;1562366335565;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
06.07.2019 00:40:05;1562366405564;10.00;0.00;0.03;0.00;0.00;39.00;3.00;0.00;0.00
06.07.2019 00:41:15;1562366475563;10.00;0.00;0.03;0.00;0.00;37.00;3.00;0.00;0.00
06.07.2019 00:42:25;1562366545561;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
06.07.2019 00:43:35;1562366615559;10.00;0.00;0.03;0.00;0.00;39.00;3.00;0.00;0.00
06.07.2019 00:44:45;1562366685557;10.00;0.00;0.03;0.00;0.00;34.00;3.00;0.00;0.00
06.07.2019 00:45:55;1562366755556;10.00;0.00;0.03;0.00;0.00;30.00;3.00;0.00;0.00
06.07.2019 00:47:05;1562366825553;10.00;0.00;0.03;0.00;0.00;30.00;3.00;0.00;0.00
06.07.2019 00:48:15;1562366895552;10.00;0.00;0.03;0.00;0.00;39.00;3.00;0.00;0.00
