Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye
07.06.2019 00:00:57;1559858457312;10;0;3;0;5;2;2
07.06.2019 00:01:57;1559858517314;10;0;1;0;2;0;0
07.06.2019 00:03:07;1559858587320;10;0;0;3;0;0;0
07.06.2019 00:04:17;1559858657322;10;0;0;0;4;1;1
07.06.2019 00:05:27;1559858727327;10;0;4;5;0;0;4
07.06.2019 00:06:36;1559858796350;10;0;4;5;0;0;1
07.06.2019 00:07:36;1559858856383;10;0;0;0;3;0;1
07.06.2019 00:08:37;1559858917338;10;0;2;0;5;1;1
07.06.2019 00:09:47;1559858987342;10;0;4;0;5;1;2
07.06.2019 00:10:56;1559859056401;10;0;1;5;0;0;1
07.06.2019 00:12:06;1559859126350;10;0;6;0;4;3;4
07.06.2019 00:13:06;1559859186354;10;0;8;0;3;2;4
07.06.2019 00:14:06;1559859246381;10;0;1;4;0;0;0
07.06.2019 00:15:07;1559859307361;10;0;4;5;0;0;3
07.06.2019 00:16:16;1559859376422;10;0;8;0;5;2;3
07.06.2019 00:17:27;1559859447370;10;0;6;1;3;2;4
07.06.2019 00:18:36;1559859516418;10;0;1;0;1;0;0
07.06.2019 00:19:46;1559859586377;10;0;6;0;5;2;4
07.06.2019 00:20:46;1559859646380;10;0;0;0;4;0;1
07.06.2019 00:21:46;1559859706383;10;0;0;5;0;0;0
07.06.2019 00:22:46;1559859766428;10;0;0;0;2;0;0
07.06.2019 00:23:56;1559859836392;10;0;0;0;1;0;0
07.06.2019 00:24:56;1559859896396;10;0;3;5;0;0;1
07.06.2019 00:25:56;1559859956399;10;0;7;2;3;2;4
07.06.2019 00:26:56;1559860016402;10;0;0;0;3;0;0
07.06.2019 00:27:56;1559860076406;10;0;1;0;5;1;2
07.06.2019 00:28:56;1559860136409;10;0;1;2;1;0;0
07.06.2019 00:29:56;1559860196414;10;0;1;0;3;0;1
07.06.2019 00:30:56;1559860256418;10;0;5;0;4;2;4
07.06.2019 00:31:56;1559860316421;10;0;3;4;1;1;5
07.06.2019 00:32:56;1559860376425;10;0;0;0;4;0;1
07.06.2019 00:33:56;1559860436427;10;0;8;0;4;2;3
07.06.2019 00:34:56;1559860496431;10;0;0;0;5;1;1
07.06.2019 00:35:56;1559860556433;10;0;3;5;0;0;3
07.06.2019 00:36:56;1559860616437;10;0;8;0;4;2;4
07.06.2019 00:37:56;1559860676441;10;0;1;0;3;0;0
07.06.2019 00:38:56;1559860736445;10;0;0;0;3;0;0
07.06.2019 00:39:56;1559860796447;10;0;0;0;5;1;2
07.06.2019 00:40:56;1559860856451;10;0;0;0;5;1;2
07.06.2019 00:41:56;1559860916455;10;0;0;0;2;0;0
07.06.2019 00:42:56;1559860976457;10;0;6;2;3;2;5
07.06.2019 00:43:56;1559861036461;10;0;5;0;5;1;2
07.06.2019 00:44:56;1559861096465;10;0;4;5;1;1;4
07.06.2019 00:45:56;1559861156467;10;0;7;0;5;2;3
07.06.2019 00:46:56;1559861216471;10;0;2;5;1;0;1
07.06.2019 00:47:56;1559861276476;10;0;4;5;0;0;4
07.06.2019 00:48:56;1559861336478;10;0;0;0;4;0;1
07.06.2019 00:49:56;1559861396483;10;0;0;0;4;0;1
07.06.2019 00:50:56;1559861456487;10;0;8;0;4;2;4
07.06.2019 00:51:56;1559861516490;10;0;2;3;0;0;0
07.06.2019 00:52:56;1559861576494;10;0;4;5;0;0;4
07.06.2019 00:53:56;1559861636497;10;0;6;1;1;2;4
07.06.2019 00:54:56;1559861696500;10;0;4;5;0;0;3
07.06.2019 00:55:56;1559861756505;10;0;8;1;3;2;4
07.06.2019 00:56:56;1559861816508;10;0;5;2;2;2;4
07.06.2019 00:57:56;1559861876510;10;0;2;0;4;0;1
07.06.2019 00:58:56;1559861936515;10;0;0;0;2;0;0
07.06.2019 00:59:56;1559861996517;10;0;6;0;5;2;3
07.06.2019 01:00:56;1559862056520;10;0;0;0;4;0;1
07.06.2019 01:01:56;1559862116524;10;0;6;0;4;2;3
07.06.2019 01:02:56;1559862176528;10;0;4;2;1;1;4
07.06.2019 01:03:56;1559862236532;10;0;8;0;5;2;4
07.06.2019 01:04:56;1559862296536;10;0;1;0;4;0;1
07.06.2019 01:05:56;1559862356540;10;0;5;0;5;2;4
07.06.2019 01:06:56;1559862416543;10;0;2;0;5;1;2
07.06.2019 01:07:56;1559862476546;10;0;0;0;2;0;0
07.06.2019 01:08:56;1559862536549;10;0;0;0;2;0;0
07.06.2019 01:09:56;1559862596553;10;0;1;5;0;0;1
07.06.2019 01:10:56;1559862656557;10;0;3;5;0;0;3
07.06.2019 01:11:56;1559862716560;10;0;7;0;6;2;3
07.06.2019 01:12:56;1559862776564;10;0;4;5;1;0;4
07.06.2019 01:13:56;1559862836566;10;0;0;0;5;0;1
07.06.2019 01:14:56;1559862896570;10;0;6;3;2;0;6
07.06.2019 01:15:56;1559862956573;10;0;2;5;1;0;4
07.06.2019 01:16:56;1559863016577;10;0;3;5;1;0;5
07.06.2019 01:17:56;1559863076581;10;0;6;0;4;2;5
07.06.2019 01:18:56;1559863136585;10;0;1;0;6;2;3
07.06.2019 01:19:56;1559863196588;10;0;1;0;6;2;4
07.06.2019 01:20:56;1559863256593;10;0;2;5;1;0;1
07.06.2019 01:21:56;1559863316595;10;0;3;5;1;0;4
07.06.2019 01:22:56;1559863376600;10;0;1;0;3;0;0
07.06.2019 01:23:56;1559863436603;10;0;8;0;5;2;4
07.06.2019 01:24:56;1559863496607;10;0;1;5;1;0;1
07.06.2019 01:25:56;1559863556609;10;0;1;1;0;0;0
07.06.2019 01:26:56;1559863616613;10;0;0;0;2;0;0
07.06.2019 01:27:56;1559863676615;10;0;1;4;0;0;0
07.06.2019 01:28:56;1559863736620;10;0;0;0;3;0;0
07.06.2019 01:29:56;1559863796623;10;0;3;5;1;0;4
07.06.2019 01:30:56;1559863856626;10;0;5;4;1;0;4
07.06.2019 01:31:56;1559863916630;10;0;0;1;1;0;0
07.06.2019 01:32:56;1559863976633;10;0;0;5;0;0;0
07.06.2019 01:33:56;1559864036637;10;0;6;0;5;2;4
07.06.2019 01:34:56;1559864096641;10;0;6;0;4;2;4
07.06.2019 01:35:56;1559864156643;10;0;8;0;5;2;4
07.06.2019 01:36:56;1559864216646;10;0;3;4;0;0;4
07.06.2019 01:37:56;1559864276651;10;0;0;0;5;1;2
07.06.2019 01:38:56;1559864336655;10;0;8;0;4;2;4
07.06.2019 01:39:56;1559864396657;10;0;0;0;3;0;0
07.06.2019 01:40:56;1559864456663;10;0;8;0;5;2;4
07.06.2019 01:41:56;1559864516666;10;0;6;1;3;2;4
07.06.2019 01:42:56;1559864576669;10;0;0;0;3;0;0
07.06.2019 01:43:56;1559864636671;10;0;0;0;1;0;0
07.06.2019 01:44:56;1559864696676;10;0;6;5;0;0;4
07.06.2019 01:45:56;1559864756679;10;0;0;3;0;0;0
