Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye
04.06.2019 00:00:30;1559599230514;10;0;3;0;3;2;7
04.06.2019 00:01:30;1559599290517;10;0;3;0;2;0;6
04.06.2019 00:02:30;1559599350521;10;0;0;0;1;0;1
04.06.2019 00:03:30;1559599410524;10;0;3;0;2;2;6
04.06.2019 00:04:30;1559599470527;10;0;2;0;4;2;6
04.06.2019 00:05:30;1559599530531;10;0;2;0;4;2;6
04.06.2019 00:06:30;1559599590533;10;0;0;0;5;0;3
04.06.2019 00:07:30;1559599650537;10;0;1;0;1;0;6
04.06.2019 00:08:30;1559599710541;10;0;0;0;2;0;1
04.06.2019 00:09:30;1559599770545;10;0;0;0;4;0;3
04.06.2019 00:10:30;1559599830548;10;0;0;0;3;0;2
04.06.2019 00:11:30;1559599890551;10;0;0;0;2;0;1
04.06.2019 00:12:30;1559599950554;10;0;0;0;5;1;3
04.06.2019 00:13:30;1559600010558;10;0;0;0;1;0;6
04.06.2019 00:14:30;1559600070562;10;0;2;0;2;1;6
04.06.2019 00:15:30;1559600130566;10;0;0;0;6;1;4
04.06.2019 00:16:30;1559600190569;10;0;0;0;2;0;1
04.06.2019 00:17:30;1559600250572;10;0;0;0;2;0;2
04.06.2019 00:18:30;1559600310576;10;0;2;0;2;0;6
04.06.2019 00:19:30;1559600370580;10;0;0;0;1;0;4
04.06.2019 00:20:30;1559600430584;10;0;0;0;7;2;5
04.06.2019 00:21:30;1559600490586;10;0;0;0;2;0;4
04.06.2019 00:22:30;1559600550589;10;0;2;0;3;2;6
04.06.2019 00:23:30;1559600610593;10;0;2;0;4;2;6
04.06.2019 00:24:30;1559600670597;10;0;0;0;1;0;2
04.06.2019 00:25:30;1559600730601;10;0;0;0;3;0;1
04.06.2019 00:26:30;1559600790602;10;0;0;0;4;0;2
04.06.2019 00:27:30;1559600850606;10;0;2;0;3;2;6
04.06.2019 00:28:30;1559600910611;10;0;1;0;4;2;6
04.06.2019 00:29:30;1559600970614;10;0;0;0;5;0;4
04.06.2019 00:30:30;1559601030618;10;0;0;0;5;2;5
04.06.2019 00:31:30;1559601090620;10;0;0;0;6;2;4
04.06.2019 00:32:30;1559601150623;10;0;2;0;4;2;6
04.06.2019 00:33:30;1559601210627;10;0;2;0;2;0;6
04.06.2019 00:34:30;1559601270631;10;0;2;0;2;1;6
04.06.2019 00:35:30;1559601330634;10;0;0;0;1;0;4
04.06.2019 00:36:30;1559601390639;10;0;2;0;2;2;6
04.06.2019 00:37:30;1559601450643;10;0;3;0;3;2;6
04.06.2019 00:38:30;1559601510646;10;0;2;0;2;2;6
04.06.2019 00:39:30;1559601570649;10;0;0;0;6;2;4
04.06.2019 00:40:30;1559601630653;10;0;0;0;2;0;1
04.06.2019 00:41:30;1559601690655;10;0;0;0;1;0;0
04.06.2019 00:42:30;1559601750659;10;0;0;0;0;0;5
04.06.2019 00:43:30;1559601810663;10;0;0;0;4;0;2
04.06.2019 00:44:30;1559601870667;10;0;2;0;1;0;6
04.06.2019 00:45:30;1559601930670;10;0;0;0;4;0;2
04.06.2019 00:46:30;1559601990674;10;0;2;0;2;2;6
04.06.2019 00:47:30;1559602050677;10;0;0;0;1;0;0
04.06.2019 00:48:30;1559602110679;10;0;3;0;4;2;6
04.06.2019 00:49:30;1559602170684;10;0;2;0;0;1;6
04.06.2019 00:50:30;1559602230687;10;0;0;0;4;0;3
04.06.2019 00:51:30;1559602290689;10;0;0;0;5;2;4
04.06.2019 00:52:30;1559602350694;10;0;0;0;5;2;4
04.06.2019 00:53:30;1559602410697;10;0;0;0;5;1;4
04.06.2019 00:54:30;1559602470699;10;0;1;0;6;2;4
04.06.2019 00:55:30;1559602530704;10;0;0;0;1;0;1
04.06.2019 00:56:30;1559602590708;10;0;2;0;5;2;5
04.06.2019 00:57:30;1559602650711;10;0;3;0;4;2;6
04.06.2019 00:58:30;1559602710715;10;0;0;0;5;1;3
04.06.2019 00:59:30;1559602770719;10;0;0;0;0;0;4
04.06.2019 01:00:30;1559602830721;10;0;0;0;2;0;1
