Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye
23.05.2019 00:00:28;1558562428059;10;0;0;7;2;2;3
23.05.2019 00:01:38;1558562498057;10;0;3;5;2;2;3
23.05.2019 00:02:48;1558562568048;10;0;3;5;2;2;3
23.05.2019 00:03:48;1558562628078;10;0;4;7;2;2;3
23.05.2019 00:04:58;1558562698041;10;0;0;9;2;2;3
23.05.2019 00:05:58;1558562758044;10;0;3;11;1;1;3
23.05.2019 00:07:08;1558562828023;10;0;1;8;2;2;3
23.05.2019 00:08:18;1558562898013;10;0;3;11;1;1;3
23.05.2019 00:09:28;1558562968055;10;0;3;11;1;1;3
23.05.2019 00:10:28;1558563028997;10;0;4;9;1;1;3
23.05.2019 00:11:38;1558563098019;10;0;1;7;2;2;3
23.05.2019 00:12:48;1558563168005;10;0;3;11;1;1;3
23.05.2019 00:13:57;1558563237975;10;0;4;9;1;1;3
23.05.2019 00:15:08;1558563308964;10;0;0;6;2;2;3
23.05.2019 00:16:18;1558563378960;10;0;3;6;2;2;3
23.05.2019 00:17:27;1558563447998;10;0;4;9;1;1;3
23.05.2019 00:18:37;1558563517969;10;0;1;5;2;2;3
23.05.2019 00:19:48;1558563588939;10;0;4;10;1;1;3
23.05.2019 00:20:58;1558563658927;10;0;0;7;2;2;3
23.05.2019 00:22:07;1558563727973;10;0;1;7;2;2;3
23.05.2019 00:23:17;1558563797946;10;0;0;5;2;2;3
23.05.2019 00:24:17;1558563857947;10;0;2;7;2;2;3
23.05.2019 00:25:18;1558563918906;10;10;3;11;1;1;3
23.05.2019 00:26:28;1558563988890;10;0;0;7;2;2;3
23.05.2019 00:27:38;1558564058886;10;0;3;9;1;1;3
23.05.2019 00:28:48;1558564128877;10;0;4;9;1;1;3
23.05.2019 00:29:58;1558564198867;10;0;0;8;2;2;3
23.05.2019 00:31:08;1558564268858;10;0;0;5;2;2;3
23.05.2019 00:32:18;1558564338852;10;0;0;7;2;2;3
23.05.2019 00:33:28;1558564408848;10;0;3;11;2;1;3
23.05.2019 00:34:38;1558564478835;10;0;3;9;2;2;3
23.05.2019 00:35:48;1558564548831;10;0;1;5;2;2;3
23.05.2019 00:36:58;1558564618823;10;0;3;8;1;1;3
23.05.2019 00:38:08;1558564688813;10;0;1;5;2;2;3
23.05.2019 00:39:18;1558564758807;10;0;3;7;2;2;3
23.05.2019 00:40:28;1558564828797;10;0;0;9;2;2;3
23.05.2019 00:41:38;1558564898790;10;0;1;8;2;2;3
23.05.2019 00:42:48;1558564968786;10;0;3;7;2;2;3
23.05.2019 00:43:58;1558565038775;10;0;0;5;2;2;3
23.05.2019 00:45:08;1558565108772;10;0;3;10;1;1;3
23.05.2019 00:46:18;1558565178761;10;0;1;7;2;2;3
23.05.2019 00:47:28;1558565248756;10;0;3;5;2;2;3
23.05.2019 00:48:38;1558565318744;10;0;0;8;2;2;3
23.05.2019 00:49:48;1558565388738;10;0;0;5;2;2;3
23.05.2019 00:50:58;1558565458733;10;0;3;11;2;1;3
23.05.2019 00:52:08;1558565528722;10;0;0;6;2;2;3
23.05.2019 00:53:18;1558565598717;10;0;2;5;2;2;3
23.05.2019 00:54:28;1558565668708;10;0;3;10;1;1;3
23.05.2019 00:55:38;1558565738698;10;0;1;7;2;2;3
23.05.2019 00:56:48;1558565808695;10;0;3;8;1;1;3
23.05.2019 00:57:58;1558565878683;10;0;1;5;2;2;3
23.05.2019 00:59:08;1558565948676;10;0;2;9;2;2;3
23.05.2019 01:00:18;1558566018668;10;0;3;9;2;2;3
23.05.2019 01:01:28;1558566088666;10;0;3;11;1;1;3
23.05.2019 01:02:38;1558566158657;10;0;0;6;2;2;3
23.05.2019 01:03:38;1558566218657;10;0;3;7;1;1;3
23.05.2019 01:04:48;1558566288652;10;0;3;7;1;2;3
23.05.2019 01:05:58;1558566358645;10;0;2;9;2;1;3
23.05.2019 01:07:08;1558566428642;10;0;2;10;2;2;3
23.05.2019 01:08:18;1558566498634;10;0;0;7;2;2;3
23.05.2019 01:09:18;1558566558635;10;0;4;10;1;1;3
23.05.2019 01:10:28;1558566628627;10;0;3;11;2;2;3
23.05.2019 01:11:38;1558566698620;10;0;3;9;2;2;3
23.05.2019 01:12:38;1558566758620;10;0;4;8;1;1;3
23.05.2019 01:13:48;1558566828612;10;0;1;7;2;2;3
23.05.2019 01:14:48;1558566888612;10;0;4;9;1;1;3
23.05.2019 01:15:58;1558566958610;10;0;3;11;1;1;3
23.05.2019 01:17:08;1558567028602;10;0;3;7;1;2;3
23.05.2019 01:18:18;1558567098595;10;0;1;5;2;2;3
23.05.2019 01:19:28;1558567168590;10;0;1;8;2;2;3
23.05.2019 01:20:38;1558567238586;10;0;0;6;2;2;3
23.05.2019 01:21:48;1558567308584;10;0;4;10;1;1;3
23.05.2019 01:22:58;1558567378575;10;0;1;5;2;2;3
23.05.2019 01:24:08;1558567448572;10;0;3;10;1;2;3
