Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye;InsideTable2;InsideWork2
05.07.2019 00:00:36;1562277636422;10.00;0.00;0.06;0.00;0.00;38.00;3.00;0.00;0.00
05.07.2019 00:01:46;1562277706419;10.00;0.00;0.06;0.00;0.00;29.00;3.00;0.00;0.00
05.07.2019 00:02:56;1562277776418;10.00;0.00;0.06;0.00;0.00;29.00;3.00;0.00;0.00
05.07.2019 00:04:06;1562277846415;10.00;0.00;0.03;0.00;0.00;39.00;3.00;0.00;0.00
05.07.2019 00:05:16;1562277916416;10.00;0.00;0.06;0.00;0.00;32.00;3.00;0.00;0.00
05.07.2019 00:06:26;1562277986415;10.00;0.00;0.06;0.00;0.00;36.00;3.00;0.00;0.00
05.07.2019 00:07:36;1562278056410;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
05.07.2019 00:08:36;1562278116410;10.00;0.00;0.06;0.00;0.00;37.00;3.00;0.00;0.00
05.07.2019 00:09:36;1562278176410;10.00;0.00;0.06;0.00;0.00;37.00;3.00;0.00;0.00
05.07.2019 00:10:46;1562278246407;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
05.07.2019 00:11:56;1562278316407;10.00;0.00;0.06;0.00;0.00;36.00;3.00;0.00;0.00
05.07.2019 00:13:06;1562278386407;10.00;0.00;0.06;0.00;0.00;39.00;3.00;0.00;0.00
05.07.2019 00:14:16;1562278456405;10.00;0.00;0.06;0.00;0.00;38.00;3.00;0.00;0.00
05.07.2019 00:15:26;1562278526403;10.00;0.00;0.06;0.00;0.00;35.00;3.00;0.00;0.00
05.07.2019 00:16:36;1562278596401;10.00;0.00;0.06;0.00;0.00;31.00;3.00;0.00;0.00
05.07.2019 00:17:46;1562278666398;10.00;0.00;0.03;0.00;0.00;36.00;3.00;0.00;0.00
05.07.2019 00:18:46;1562278726399;10.00;0.00;0.06;0.00;0.00;38.00;3.00;0.00;0.00
05.07.2019 00:19:56;1562278796394;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
05.07.2019 00:20:56;1562278856394;10.00;0.00;0.06;0.00;0.00;37.00;3.00;0.00;0.00
05.07.2019 00:22:06;1562278926393;10.00;0.00;0.06;0.00;0.00;38.00;3.00;0.00;0.00
05.07.2019 00:23:16;1562278996387;10.00;0.00;0.03;0.00;0.00;39.00;3.00;0.00;0.00
05.07.2019 00:24:16;1562279056388;10.00;0.00;0.06;0.00;0.00;39.00;3.00;0.00;0.00
05.07.2019 00:25:26;1562279126388;10.00;0.00;0.06;0.00;0.00;36.00;3.00;0.00;0.00
05.07.2019 00:26:36;1562279196382;10.00;0.00;0.03;0.00;0.00;35.00;3.00;0.00;0.00
