Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye
11.06.2019 00:00:51;1560204051589;10;0;4;5;0;0;1
11.06.2019 00:02:01;1560204121584;10;0;7;1;4;2;4
11.06.2019 00:03:11;1560204191580;10;0;6;3;2;2;4
11.06.2019 00:04:21;1560204261576;10;0;5;6;0;0;4
11.06.2019 00:05:31;1560204331572;10;0;0;0;2;0;0
11.06.2019 00:06:41;1560204401567;10;0;2;6;0;0;2
11.06.2019 00:07:51;1560204471561;10;0;0;0;4;0;1
11.06.2019 00:09:01;1560204541556;10;0;5;6;0;0;3
11.06.2019 00:10:11;1560204611552;10;0;6;5;0;0;4
11.06.2019 00:11:21;1560204681547;10;0;5;6;0;0;5
11.06.2019 00:12:31;1560204751542;10;0;0;0;3;0;0
11.06.2019 00:13:41;1560204821538;10;0;8;2;3;3;4
11.06.2019 00:14:51;1560204891532;10;0;0;0;3;0;1
11.06.2019 00:16:01;1560204961528;10;0;7;0;5;2;2
11.06.2019 00:17:11;1560205031524;10;0;1;0;1;0;0
11.06.2019 00:18:21;1560205101518;10;0;6;4;1;2;5
11.06.2019 00:19:31;1560205171513;10;0;5;0;5;2;4
11.06.2019 00:20:41;1560205241510;10;0;0;0;2;0;0
11.06.2019 00:21:51;1560205311506;10;0;3;0;5;2;2
11.06.2019 00:23:01;1560205381501;10;0;6;6;0;0;4
11.06.2019 00:24:11;1560205451496;10;0;8;0;3;2;4
11.06.2019 00:25:21;1560205521491;10;0;6;6;0;0;5
11.06.2019 00:26:31;1560205591486;10;0;0;0;5;1;1
11.06.2019 00:27:41;1560205661482;10;0;2;5;0;0;0
11.06.2019 00:28:51;1560205731476;10;0;7;2;3;3;4
11.06.2019 00:30:01;1560205801472;10;0;6;0;5;2;4
11.06.2019 00:31:11;1560205871468;10;0;4;6;1;0;5
11.06.2019 00:32:21;1560205941463;10;0;0;0;4;0;1
11.06.2019 00:33:31;1560206011457;10;0;6;0;5;2;4
11.06.2019 00:34:41;1560206081452;10;0;2;4;0;0;0
11.06.2019 00:35:51;1560206151448;20;0;1;0;4;0;1
11.06.2019 00:37:01;1560206221443;10;0;5;6;1;0;5
11.06.2019 00:38:11;1560206291438;10;0;1;0;1;0;0
11.06.2019 00:39:21;1560206361433;10;0;0;3;2;0;0
11.06.2019 00:40:31;1560206431431;10;0;3;5;0;0;2
11.06.2019 00:41:41;1560206501426;10;0;4;5;1;0;5
11.06.2019 00:42:51;1560206571422;10;0;5;0;5;2;2
11.06.2019 00:44:01;1560206641418;10;0;8;1;3;2;4
11.06.2019 00:45:11;1560206711412;10;0;4;6;1;0;4
11.06.2019 00:46:21;1560206781406;10;0;2;4;0;0;0
11.06.2019 00:47:31;1560206851402;10;0;8;0;3;2;4
11.06.2019 00:48:41;1560206921398;10;0;6;2;3;2;4
11.06.2019 00:49:51;1560206991392;10;0;3;5;0;0;1
11.06.2019 00:51:01;1560207061388;10;0;1;1;1;0;0
11.06.2019 00:52:11;1560207131384;10;0;1;0;0;0;0
11.06.2019 00:53:21;1560207201377;10;0;3;6;0;0;4
11.06.2019 00:54:31;1560207271373;10;0;1;0;5;1;2
11.06.2019 00:55:41;1560207341368;10;0;0;0;2;0;0
11.06.2019 00:56:51;1560207411364;10;0;6;0;4;2;2
11.06.2019 00:58:01;1560207481359;10;0;5;6;0;0;3
11.06.2019 00:59:11;1560207551355;10;0;6;0;5;2;3
11.06.2019 01:00:21;1560207621349;10;0;0;0;3;0;0
11.06.2019 01:01:31;1560207691346;10;0;0;0;4;0;0
11.06.2019 01:02:41;1560207761341;10;0;0;0;1;0;0
11.06.2019 01:03:51;1560207831338;10;0;8;2;3;2;4
11.06.2019 01:05:01;1560207901332;10;0;4;5;0;0;0
11.06.2019 01:06:11;1560207971327;10;0;8;5;0;2;4
11.06.2019 01:07:21;1560208041324;10;0;6;0;4;2;3
11.06.2019 01:08:31;1560208111317;10;0;7;0;3;2;4
11.06.2019 01:09:41;1560208181313;10;0;5;6;0;0;2
11.06.2019 01:10:51;1560208251309;10;0;3;6;0;0;3
11.06.2019 01:12:01;1560208321304;10;0;1;0;0;0;0
11.06.2019 01:13:11;1560208391298;10;0;3;6;0;0;1
11.06.2019 01:14:21;1560208461293;10;0;6;0;4;2;4
11.06.2019 01:15:31;1560208531289;10;0;1;0;5;2;3
11.06.2019 01:16:41;1560208601285;10;0;7;4;2;2;4
11.06.2019 01:17:51;1560208671279;10;0;8;0;4;2;4
11.06.2019 01:19:01;1560208741275;10;0;0;0;0;0;0
11.06.2019 01:20:11;1560208811270;10;0;6;4;1;2;4
11.06.2019 01:21:21;1560208881266;10;0;1;5;0;0;1
11.06.2019 01:22:31;1560208951261;10;0;7;0;4;2;4
11.06.2019 01:23:41;1560209021258;10;0;3;5;0;0;0
11.06.2019 01:24:51;1560209091253;10;0;4;0;4;2;2
11.06.2019 01:26:01;1560209161248;10;0;0;0;2;0;0
11.06.2019 01:27:11;1560209231243;10;0;3;6;0;0;4
11.06.2019 01:28:21;1560209301237;10;0;2;3;0;0;0
11.06.2019 01:29:31;1560209371233;10;0;0;2;0;0;0
11.06.2019 01:30:41;1560209441228;10;0;6;5;0;1;4
11.06.2019 01:31:51;1560209511223;10;0;1;0;5;2;2
11.06.2019 01:33:01;1560209581220;10;0;8;4;2;2;4
11.06.2019 01:34:11;1560209651215;10;0;2;2;0;0;0
11.06.2019 01:35:21;1560209721209;10;0;2;6;0;0;3
11.06.2019 01:36:31;1560209791205;10;0;4;0;4;2;3
11.06.2019 01:37:41;1560209861200;10;0;3;5;0;0;0
11.06.2019 01:38:51;1560209931195;10;0;8;0;4;2;4
11.06.2019 01:40:01;1560210001190;10;0;1;2;0;0;0
11.06.2019 01:41:11;1560210071186;10;0;0;1;0;0;0
11.06.2019 01:42:21;1560210141182;10;0;5;5;1;2;4
11.06.2019 01:43:31;1560210211177;10;0;6;1;3;2;4
11.06.2019 01:44:41;1560210281173;10;0;5;6;0;0;4
