Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye
22.06.2019 00:00:39;1561154439718;10;0;3;16;2;2;3
22.06.2019 00:01:39;1561154499719;10;0;2;14;3;2;3
22.06.2019 00:02:49;1561154569717;10;0;1;9;3;2;3
22.06.2019 00:03:49;1561154629722;10;0;2;11;3;2;3
22.06.2019 00:04:49;1561154689722;10;0;3;18;2;2;3
22.06.2019 00:05:49;1561154749723;10;0;3;18;2;2;3
22.06.2019 00:06:59;1561154819721;10;0;1;12;2;2;3
22.06.2019 00:07:59;1561154879722;10;0;3;14;2;2;3
22.06.2019 00:08:59;1561154939722;10;0;1;9;3;2;3
22.06.2019 00:09:59;1561154999726;10;0;1;11;2;2;3
22.06.2019 00:10:59;1561155059729;10;0;3;18;2;2;3
22.06.2019 00:11:59;1561155119730;10;0;2;13;3;2;3
22.06.2019 00:12:59;1561155179731;10;0;3;15;3;2;3
22.06.2019 00:13:59;1561155239732;10;0;3;18;2;2;3
22.06.2019 00:14:59;1561155299734;10;0;3;16;2;2;3
22.06.2019 00:15:59;1561155359734;10;0;3;18;2;2;3
22.06.2019 00:17:09;1561155429733;10;0;2;12;3;2;3
22.06.2019 00:18:09;1561155489734;10;0;2;13;2;2;3
22.06.2019 00:19:19;1561155559735;10;0;1;10;3;2;3
22.06.2019 00:20:29;1561155629734;10;0;1;9;3;2;3
22.06.2019 00:21:29;1561155689735;10;0;1;9;3;2;3
22.06.2019 00:22:29;1561155749740;10;0;3;18;2;2;3
22.06.2019 00:23:39;1561155819742;10;0;3;17;2;2;3
22.06.2019 00:24:49;1561155889743;10;0;3;16;2;2;3
22.06.2019 00:25:59;1561155959741;10;0;3;18;2;2;3
22.06.2019 00:26:59;1561156019741;10;0;1;12;3;2;3
22.06.2019 00:27:59;1561156079742;10;0;3;16;2;2;3
22.06.2019 00:28:59;1561156139743;10;0;2;11;3;2;3
22.06.2019 00:29:59;1561156199749;10;0;3;17;2;2;3
22.06.2019 00:31:09;1561156269746;10;0;3;13;2;2;3
22.06.2019 00:32:09;1561156329747;10;0;2;14;3;2;3
22.06.2019 00:33:09;1561156389749;10;0;3;14;2;2;3
22.06.2019 00:34:09;1561156449753;10;0;1;11;3;2;3
22.06.2019 00:35:09;1561156509754;10;0;1;11;3;2;3
22.06.2019 00:36:09;1561156569757;10;0;3;18;2;2;3
22.06.2019 00:37:19;1561156639752;10;0;3;13;2;2;3
22.06.2019 00:38:19;1561156699754;10;0;2;14;2;2;3
22.06.2019 00:39:29;1561156769756;10;0;2;13;3;2;3
22.06.2019 00:40:29;1561156829758;10;0;3;13;3;2;3
22.06.2019 00:41:39;1561156899756;10;0;1;11;3;2;3
22.06.2019 00:42:39;1561156959757;10;0;3;18;2;2;3
22.06.2019 00:43:39;1561157019761;10;0;2;16;3;2;3
22.06.2019 00:44:49;1561157089759;10;0;2;13;3;2;3
22.06.2019 00:45:49;1561157149763;10;0;3;17;2;2;3
22.06.2019 00:46:59;1561157219763;10;0;3;17;2;2;3
22.06.2019 00:48:09;1561157289765;10;0;2;14;2;2;3
22.06.2019 00:49:19;1561157359765;10;0;2;11;3;2;3
22.06.2019 00:50:19;1561157419768;10;0;3;18;2;2;3
22.06.2019 00:51:29;1561157489766;10;0;3;18;2;2;3
22.06.2019 00:52:29;1561157549767;10;0;1;9;2;2;3
22.06.2019 00:53:29;1561157609767;10;0;3;18;2;2;3
22.06.2019 00:54:29;1561157669768;10;0;1;9;3;2;3
22.06.2019 00:55:29;1561157729770;10;0;1;11;3;2;3
22.06.2019 00:56:29;1561157789770;10;0;3;14;3;2;3
22.06.2019 00:57:29;1561157849775;10;0;3;16;2;2;3
22.06.2019 00:58:39;1561157919772;10;0;1;11;3;2;3
22.06.2019 00:59:39;1561157979773;10;0;2;11;3;2;3
22.06.2019 01:00:39;1561158039775;10;0;1;11;2;2;3
22.06.2019 01:01:39;1561158099779;10;0;3;16;2;2;3
22.06.2019 01:02:39;1561158159786;10;0;3;13;2;2;3
22.06.2019 01:03:39;1561158219789;10;0;3;18;2;2;3
22.06.2019 01:04:49;1561158289789;10;0;1;9;3;2;3
22.06.2019 01:05:49;1561158349796;10;0;3;16;2;2;3
22.06.2019 01:06:49;1561158409797;10;0;3;18;2;2;3
22.06.2019 01:07:49;1561158469800;10;0;1;9;3;2;3
22.06.2019 01:08:49;1561158529808;10;0;3;18;2;2;3
22.06.2019 01:09:49;1561158589809;10;0;2;14;2;2;3
22.06.2019 01:10:49;1561158649810;10;0;1;9;2;2;3
22.06.2019 01:11:49;1561158709815;10;0;2;13;3;2;3
22.06.2019 01:12:49;1561158769822;10;0;3;18;2;2;3
22.06.2019 01:13:59;1561158839823;10;0;1;11;3;2;3
22.06.2019 01:14:59;1561158899827;10;0;1;10;3;2;3
22.06.2019 01:15:59;1561158959832;10;0;3;18;2;2;3
22.06.2019 01:16:59;1561159019832;10;0;1;9;3;2;3
22.06.2019 01:17:59;1561159079836;10;0;1;9;3;2;3
22.06.2019 01:18:59;1561159139838;10;0;1;9;3;2;3
22.06.2019 01:19:59;1561159199843;10;0;3;16;2;2;3
22.06.2019 01:20:59;1561159259848;10;0;3;16;2;1;3
22.06.2019 01:21:59;1561159319848;10;0;1;9;3;2;3
22.06.2019 01:22:59;1561159379854;10;0;3;18;2;2;3
22.06.2019 01:23:59;1561159439860;10;0;3;18;2;2;3
22.06.2019 01:24:59;1561159499860;10;0;0;9;3;2;3
22.06.2019 01:25:59;1561159559868;10;0;3;15;3;2;3
22.06.2019 01:26:59;1561159619872;10;0;3;18;2;2;3
22.06.2019 01:27:59;1561159679876;10;0;2;16;2;2;3
22.06.2019 01:28:59;1561159739878;10;0;3;18;2;2;3
22.06.2019 01:29:59;1561159799881;10;0;3;18;2;2;3
22.06.2019 01:30:59;1561159859881;10;0;2;13;3;2;3
22.06.2019 01:31:59;1561159919885;10;0;1;9;3;2;3
22.06.2019 01:32:59;1561159979888;10;0;1;9;3;2;3
22.06.2019 01:33:59;1561160039893;10;0;1;13;3;2;3
22.06.2019 01:34:59;1561160099895;10;0;1;9;3;2;3
22.06.2019 01:35:59;1561160159899;10;0;1;11;3;2;3
22.06.2019 01:36:59;1561160219905;10;0;3;17;2;2;3
22.06.2019 01:37:59;1561160279905;10;0;1;9;3;2;3
22.06.2019 01:38:59;1561160339913;10;0;2;15;3;2;3
22.06.2019 01:39:59;1561160399916;10;0;3;18;2;2;3
